,Hjorth#Complexity#T5,Hjorth#Complexity#F4,COH#Frontal(R)-Parietal(L)#delta,Hjorth#Complexity#T3,Spectral#RelativePower#F7#theta,COH#Frontal(R)-Temporal(L)#theta,Spectral#EdgeFrequency#O2#beta,COH#Frontal(L)-Temporal(R)#beta,COH#Temporal(L)-Parietal(L)#gamma,Spectral#EdgeFrequency#O1#beta,COH#Frontal(R)-Parietal(L)#theta,COH#Temporal(L)-Temporal(R)#alpha,COH#Frontal(R)-Temporal(L)#gamma,COH#Temporal(R)-Parietal(L)#beta,COH#Frontal(R)-Occipital(L)#theta,COH#Temporal(L)-Parietal(L)#beta,Hjorth#Activity#F7,COH#Occipital(L)-Occipital(R)#gamma,Spectral#Flatness#P3#beta,COH#Temporal(R)-Parietal(R)#alpha,Spectral#Entropy#P3#alpha,COH#Frontal(R)-Parietal(R)#theta,COH#Frontal(R)-Temporal(L)#delta,Spectral#Entropy#O2#alpha,Spectral#Entropy#T4#theta,Spectral#RelativePower#Cz#beta,Spectral#Diff#Pz#delta,COH#Parietal(R)-Occipital(L)#beta,Spectral#EdgeFrequency#Fz#beta,Spectral#Diff#Cz#gamma,Spectral#RelativePower#Fp1#gamma,COH#Frontal(R)-Parietal(L)#gamma,PLI#Frontal(R)-Parietal(L)#alpha,Spectral#Diff#F7#beta,Hjorth#Mobility#O1,Spectral#Flatness#T4#gamma,PLI#Parietal(L)-Occipital(L)#gamma,Spectral#Flatness#T6#delta,COH#Parietal(R)-Occipital(L)#alpha,COH#Parietal(R)-Occipital(R)#beta,Spectral#Diff#T4#delta,Spectral#Diff#F8#alpha,COH#Temporal(R)-Occipital(L)#beta,COH#Parietal(R)-Occipital(L)#gamma,Hjorth#Mobility#P4,COH#Frontal(L)-Temporal(L)#beta,COH#Occipital(L)-Occipital(R)#alpha,Spectral#Entropy#T3#theta,COH#Frontal(R)-Occipital(R)#alpha,Hjorth#Complexity#P3,COH#Frontal(L)-Occipital(L)#beta,Hjorth#Activity#C3,COH#Temporal(L)-Occipital(R)#theta,Spectral#Diff#F4#beta,COH#Frontal(L)-Frontal(R)#gamma,Spectral#Diff#C3#gamma,COH#Frontal(L)-Frontal(R)#theta,COH#Parietal(L)-Occipital(R)#theta,Spectral#RelativePower#F7#gamma,Spectral#RelativePower#F3#beta,PLI#Temporal(R)-Parietal(R)#beta,Spectral#Flatness#F7#beta,Hjorth#Complexity#O2,Spectral#Entropy#Cz#theta,PLI#Frontal(R)-Occipital(R)#beta,COH#Temporal(L)-Parietal(R)#beta,COH#Frontal(L)-Occipital(L)#delta,Spectral#Flatness#F8#delta,Spectral#Entropy#F4#delta,PLI#Temporal(R)-Parietal(R)#gamma,COH#Occipital(L)-Occipital(R)#delta,COH#Temporal(L)-Parietal(R)#delta,PLI#Frontal(L)-Temporal(R)#delta,Spectral#Flatness#P3#theta,Spectral#Entropy#F7#alpha,COH#Frontal(R)-Temporal(R)#delta,COH#Frontal(L)-Occipital(R)#gamma,COH#Frontal(L)-Frontal(R)#beta,Hjorth#Complexity#Cz,COH#Frontal(L)-Occipital(R)#beta
4DB0BE80-4988-412A-9FAD-52B8324FFD10,0.2022396322368046,0.21751905460315601,0.3802137662757594,0.4400386941841008,0.34172754161970204,0.4317727615351564,0.22261904455915746,0.23535610268922003,0.2696405458297716,0.20994554085796732,0.38202782451233663,0.42701426984204627,0.4088222039810041,0.2061126866983522,0.32168887655108547,0.152777648051436,0.2302213467353105,0.7065098493097339,0.6532925964676517,0.5939183004789368,0.6579548401947306,0.21308530914962406,0.4286906503988002,0.7501501289073069,0.9310554461571197,0.3317673545863414,0.6948379772384348,0.4389622717955115,0.20831689495491956,0.6668778720015707,0.20173689125158104,0.40753965920021307,0.5013401200280523,0.804157548764984,0.3203623764968878,1.010120858224012,0.1833701020430341,0.5779070247522461,0.41472362650120304,0.27029617671511563,0.6720456021659111,0.5342732008551627,0.4404619482505269,0.43451380321039335,0.376961627995858,0.24811283291309,0.5849643148497391,0.9183943421322796,0.6969498600101599,0.14727450857083824,0.5422272817952111,0.17548465777467387,0.3470802012049575,0.8572550702751955,0.3338994754858775,0.6138912316052885,0.25112514954392057,0.4754018952996693,0.16252638581894413,0.27713146531727134,0.511649383179676,0.6496452843434855,0.21784288980018515,0.9318551734816197,0.3784106760374215,0.3158832375682848,0.6264237331732024,0.6894766299569889,0.7424857697038794,0.18352785652222883,0.7035444200091888,0.30281176085012124,0.5337270681814801,0.8543211168151237,0.760945535433451,0.2952951602244847,0.35330668150649475,0.2528512319896541,0.25780679757661246,0.4215588769638491
CA1499A1-93B4-40E9-A0E9-0399A824CF58,0.4769556678972908,0.1561101505516526,0.4193818577958871,0.5699355982310331,0.1187046216002956,0.5376941360959449,0.42454212148223436,0.29768597866258684,0.34380612018577617,0.4511097820222083,0.5325830654462345,0.1983844869076896,0.5784718261928902,0.17880742983704553,0.4311679042491345,0.14848506302527853,0.15808227930035915,1.0832676607349416,0.7665662647522029,0.49311715275765405,1.0332579383633267,0.2637803461802245,0.46468471900866554,1.1587439812118383,0.9256371930353472,0.3823730939526805,0.6703980304760802,0.4321317974842453,0.35392129055931526,0.6667457408052312,0.26338538544480417,0.4046879872325838,0.362014277331423,0.8172416141950597,0.28263961619286954,0.9822451089693582,0.2428742342744391,0.5783299782161249,0.39394546527705415,0.30088000314732366,0.5169301134661123,0.5895542135762217,0.4917667948225518,0.4497931723011953,0.28923582527454667,0.3665620020313844,1.1881261744122176,0.9243391588643691,0.7000882233678933,0.5381030506809497,0.46987029683078996,0.056021503618506954,0.31812538638204735,0.8601153917785903,0.24835340504707634,0.6018940222621886,0.04987586616413697,0.480309914771825,0.23209995838395497,0.35343566506331026,0.465709708005662,0.8165097926292553,0.5530450115769265,0.9088680226398098,0.5396351658333398,0.17249983034387656,0.4113055588742676,0.5859309588442817,0.8305867819808771,0.15767751638617458,0.8757220984199416,0.22925131775125773,0.4343893198371091,0.8907916252708773,0.9741013349028838,0.26849303522941037,0.37920302793689603,0.1298731031872731,0.5589504246478445,0.37822871318330586
3910096D-F005-48B9-9280-B22FFA359856,0.367126755771819,0.18499011929166187,0.4853198678385487,0.4863223778100144,0.30726660925763294,0.5501943647118868,0.19761904455915738,0.24600665160244828,0.4342573173062785,0.28021581112823746,0.547265765220337,0.23103835843136003,0.5077860479308006,0.1498223542939379,0.4255339793341017,0.3556652035406681,0.19088456096731807,0.9762572547542172,0.5390796178916987,0.5045890244952045,0.7992343355877166,0.3424416309770548,0.44366365470619257,0.9049038950193078,0.9256489107475098,0.3264343522017762,0.76789311776556,0.4414410573881894,0.27260260924063373,0.6720825996296617,0.22611904484041367,0.5410427483931395,0.29122776047749044,0.8054412304887885,0.21176745129183444,1.1163713203295207,0.1833701020430341,0.5815370769022489,0.4150439469981736,0.31732113470812423,0.722565520381741,0.5228488494837068,0.4005293298402398,0.4883548352913929,0.27766974919452814,0.2241596552132609,1.030348921656977,0.8801233377295486,0.8331499820286881,0.33183398000035447,0.4630058507295489,0.09341214151186845,0.35664958528625235,0.8547057389648789,0.16740780713435663,0.6210615633779992,0.19650858554551343,0.5506364915012436,0.2262106408093838,0.2677506758586508,0.6084011233188871,0.79589021693695,0.3449195646970726,0.9144082304795097,0.2641249617517074,0.24651366098688102,0.47270565729378156,0.7176192749202822,0.9350063691312386,0.30529656400522215,0.8847453473871539,0.3264267635910364,0.23174031321459262,0.7519960109634745,0.8968840420117601,0.10043645034096053,0.4377063672744019,0.0946193154473596,0.2513505574603752,0.5104293519798729
E339EB7B-C49F-4243-9083-C78D36A94ED3,0.5334709631075589,0.1962206335532554,0.5279809202088576,0.3784268607908152,0.24947949757242,0.4360396759505563,0.25238094932106225,0.13008385688089652,0.25784587531979536,0.356663687576114,0.5065127833323622,0.16791047833600287,0.33054442845025006,0.12624044414027014,0.30075942012933465,0.13312781381747854,0.20710925793677062,0.591129016867278,0.8307717092300414,0.4920664332910532,0.9944796469438479,0.2221223977768271,0.3900823441920762,1.1371578446249437,0.8960128637363882,0.3331022692073684,0.7472960585310532,0.3788945176369658,0.2848475071998176,0.6647119380566522,0.24272171178862648,0.3248209374787677,0.38994365132821285,0.7975265623764144,0.1815814561888197,1.1119323118194224,0.1674314951953363,0.4698392095335718,0.3404887206206115,0.246366083491571,0.6543045436609641,0.5833084822228234,0.3949431177945751,0.35395832282218165,0.26230084220229355,0.22140008354409982,1.02717304553001,0.9125650983698813,0.5593607162207628,0.6123856815702392,0.31399287702101253,0.049776072681729,0.3067578436026332,0.8602124482710027,0.12558994904222676,0.6115026864658016,0.025540983117401744,0.39607236293580084,0.19559820485892482,0.2561794030598397,0.4488054985260466,0.7604013531969748,0.5099121152319195,0.9398672468992528,0.408439830556372,0.19787140464412892,0.5197802151294599,0.5669827228985559,0.8251791603952752,0.10850356108977022,0.7511228531687619,0.27578637607536494,0.4190629243782633,0.8400639593804229,0.982468817608005,0.13928194405113026,0.21837755475511078,0.07082679014972379,0.5815625407321305,0.29612235574187284
D4CAC4A2-A94C-4BB5-BDB2-C67531E340C9,0.4273760604682115,0.2187624547250088,0.318371942149137,0.43506911172864005,0.1850488207056557,0.41256556103610786,0.15595237789249072,0.2714348121346398,0.3392415063524881,0.3612968922093186,0.32391609076441663,0.3803191275420864,0.4695651160497091,0.1618718143434359,0.1740350800887193,0.17856141017821006,0.23707226997914901,0.4002703555446366,0.58908631727563,0.4810401836072082,0.8640893324057283,0.13434951832330203,0.36555388129786914,1.0217718259232238,0.9538791719429559,0.36735332508929947,0.579263182215437,0.4697943722185079,0.1726026092406338,0.6660110936571615,0.23599851875067399,0.3365908797555176,0.36907687765245034,0.7961734916320033,0.5088081821281654,0.9416024834375921,0.21170540310560781,0.5283700978964377,0.44369406284736124,0.2529445746996365,0.6002971451303277,0.581742956421655,0.6470656130260415,0.49555849079674236,0.3024949929669154,0.4060017183299401,0.49244850919985944,0.9095360592486877,0.46796059829297904,0.39080833345768284,0.5585004885787785,0.1328248967263671,0.2997328880237988,0.8527704170519985,0.36761214211731913,0.6038969367856698,0.11442235452524896,0.3138860741738152,0.19357725080145927,0.3250145658807361,0.4637209774786486,0.6799266239227264,0.39643076707244806,0.9152384341538363,0.3617926002356723,0.3406917450232601,0.5423608726941184,0.5918970144756892,0.8382701441122543,0.2358116271733465,0.329769827163584,0.3734941127050778,0.49853312305375996,0.8815688479763905,0.9268180660100482,0.1898890911654573,0.3270292033541969,0.28754728749353226,0.39450550043397486,0.3996535826157287
7C2DC455-449A-4AA0-B4AD-0DABCC40CD00,0.20744139807269613,0.14911255347122918,0.5371120855048759,0.36686621741725456,0.4189257056422874,0.6396864244660245,0.28809523503534784,0.2128878230233311,0.5616779563367573,0.3064706373830639,0.6944174821868583,0.4562415093666051,0.37080876114224903,0.2778552924400667,0.11735317793360747,0.49026994093692283,0.13319559236551007,0.49994806355366067,0.5648349808540789,0.7584073300002134,0.6000218344431341,0.1496330817770307,0.5198251465049626,1.0160093062086615,0.9301718627312973,0.3430849020024803,0.7361739618967605,0.3900860709619207,0.22702437794811686,0.6724350549630583,0.20486911581784667,0.34810690831332697,0.40545997021531816,0.8224855046890076,0.3341245202860367,1.122255960402207,0.17923787063807536,0.6406967145243686,0.42885968422559123,0.23945689231037004,0.7715126157307218,0.4925214608373891,0.44398036934252816,0.40571305985682915,0.38879367200599585,0.19158744893246965,0.7349451981253574,0.8621835877164504,0.6786019272109196,0.1750136633366643,0.34386346436427206,0.08120538265342468,0.30024783772949176,0.8646903656264467,0.08678292212492761,0.6193563197182177,0.12443801755353945,0.40266480625718337,0.20371328375350417,0.27838661381098095,0.4726702648502098,0.8125509718259649,0.3640932552290313,0.9158037528681994,0.4137848256972855,0.30844784144951237,0.4814713939045696,0.7469230111380362,0.8470225192383052,0.3427115299916167,0.5714642440370481,0.29605397593573757,0.4966409754662483,0.6814298457936567,0.6712880891945975,0.12793406996803633,0.08766270784559282,0.11401730629236348,0.23168335237100668,0.307159496214072
744BCEED-2491-4B98-9792-14D319F20490,0.38783513044327633,0.1859255998496336,0.31375819971317814,0.4167129987267264,0.09527682388387804,0.4168639785189302,0.43095237789249075,0.5055584773505847,0.31598618117863153,0.34508067599310244,0.33588959474136637,0.1975965908447391,0.377037235693394,0.4768642404873205,0.3064514716235528,0.176849015975719,0.15842870354974933,0.8378050682048094,0.695562330086117,0.5402360699042399,1.0287238579997022,0.16921537123393623,0.42220009221218585,1.1711161571780149,0.9703771162911254,0.3963228894264057,0.3999188237739657,0.6702048805890245,0.31545975209777666,0.6441708758131122,0.248509823519088,0.2586874951450189,0.2968457380055804,0.7877474715837738,0.3498170801435071,0.881856333397221,0.2949403499769184,0.6291110522842753,0.5993532375272964,0.323398739677618,0.15256160396533888,0.5856768828987609,0.94166842061004,0.6505800673556459,0.46959574330105835,0.37993712462771867,1.1032786572328497,0.9033291915090244,0.7887464066772574,0.39090712188682625,0.7873151067901223,0.15949716511678008,0.25713650198024884,0.8459225197628126,0.2227261882615254,0.5648678280210143,-0.003220131869488635,0.4173736272098774,0.22989702201045623,0.3773582889180052,0.5492363901402328,0.7165566652548305,0.3333369319891656,0.9495458072693386,0.5804514923639523,0.3128904321963759,0.7106186898985034,0.5808546121772614,0.9642681621027559,0.36311969325692284,0.8812764974258948,0.32669794004550695,0.4105482602344602,0.9954729815013463,1.0127594370435085,0.25950045617588835,0.2542120746528846,0.17197388367154043,0.3144470127603882,0.40890695228123763
2A0E3951-FDD3-45A5-BE61-F9DDC708FFB5,0.4627750908736125,0.24058609101137782,0.5682375433628043,0.5861156852035574,0.21218401446739704,0.5359249777823533,0.2642857112258241,0.2464557500678629,0.23367187689494956,0.29102662193904827,0.5227194560791164,0.20283970117196892,0.4537339501822243,0.18652765068201577,0.39603402065746707,0.1814265883047785,0.17704851081420478,0.725963002288222,0.6432337768880243,0.4440984640977755,0.9918895457043442,0.30125390043719347,0.4921915007616468,1.0819893070112376,0.9098890124436656,0.32433464782807414,0.6372166387347081,0.4917309420748459,0.267840704478729,0.6699751108467715,0.21501675850168334,0.3416203542859846,0.34178955823029944,0.8099541403041031,0.25809110039597266,0.8806327331860779,0.34452712683642256,0.5016754875059537,0.5450950241308099,0.2605192492580651,0.7962663544129326,0.5792555708498609,0.3986548770378188,0.5021266371753881,0.2633712748990198,0.31235814320121047,0.7032496808503788,0.8993620423123679,0.6254167373737352,0.5924529643486564,0.5169904525851446,0.11975517966321268,0.3496023051643666,0.8522097788148764,0.212150575801523,0.6163808897924058,0.11622043973130408,0.5412788918756087,0.17637209870087422,0.26319194615503166,0.42394636693837673,0.6900759537272416,0.4264052663028461,0.8643431153896542,0.2743290433843604,0.19697536114626202,0.6361310589175637,0.6072560748756433,0.8236746513686714,0.3495142510800521,0.8437231763680064,0.3802807637598483,0.609223756923202,0.8703550834285274,0.9633284113698063,0.28214911426287914,0.29304169691519033,0.15340463222527823,0.35070843587205297,0.3396358429447654
0EC704E1-490D-4C02-946E-E31A5F355390,0.39920519753817857,0.11571886793138444,0.47353465258178545,0.4318661669080116,0.2570197347701868,0.44451461516280266,0.1948412667813796,0.1817648083416414,0.4927902472936012,0.20994554085796732,0.4148092969217559,0.25023085676613477,0.46162554210841844,0.15276477199616317,0.36443674080151955,0.34346565623345304,0.062263138051680406,0.5468051350232097,0.4412622237226618,0.4903687413579958,0.9532780712673825,0.27323185669121486,0.3715090539814938,1.0369905360695144,0.9605734669370388,0.36407805816235844,0.7649660726983388,0.5545453900645965,0.267840704478729,0.6721785072448027,0.20381026620998896,0.4383527687604482,0.4241865619756178,0.7967060780684002,0.21929670588527034,0.9481576317067886,0.2288246474975795,0.43792083429115564,0.623731206599275,0.2808336719474107,0.6496840472351921,0.5725299739379202,0.6341994219872339,0.5684892480696673,0.35168694878519857,0.16485207513890235,0.5045354019225243,0.9385744099556346,0.6310094095079778,0.3613314004155634,0.2511219588155252,0.04675284030555228,0.332002608347538,0.8418028286493253,0.10423640622506536,0.6168764218811298,0.07915211641829706,0.48534682951452846,0.1569983937124821,0.5515502102340522,0.4749904504650588,0.294631225387425,0.41904861127119925,0.9227486025022875,0.4852133971258571,0.26385055978167093,0.3785424879477393,0.6466289506488331,0.8278801958947277,0.16130563430000672,0.3892858652698245,0.20737778519646322,0.45028335957220855,0.884147673283342,0.9688398569141755,0.2459276237005959,0.25580890976756765,0.19307690115885914,0.26802321059514783,0.21999565139290397
9337C2BA-10CC-469D-AC93-6336044539F4,0.19422061175746405,0.07487013184931045,0.5111685945647215,0.34437155301374744,0.5478535774281568,0.5521781633373735,0.49308900201529043,0.44191084943189973,0.37345126788127303,0.4665096274653943,0.4780648575378798,0.156417611614566,0.5152987219224139,0.32124672467467263,0.4455581611901451,0.34468322076946223,0.2414689785581281,0.7831868881318501,0.6730265692034014,0.2313361736413665,0.7163568052310821,0.3675258920610392,0.5330211572570209,0.6183940756172129,0.9176031602861048,0.24397491585982672,0.866350040194589,0.2370956789170262,0.4650144963626228,0.6859970095384251,0.1311022026343619,0.42600390139485406,0.27998978545076714,0.7921266170317607,0.4028778141986375,0.9271225928270425,0.2733811029909728,0.6096174110580761,0.23854264212116744,0.1907501473114985,0.8990717860155111,0.5090880790005473,0.20626768770749102,0.2933529355655996,0.4089288761098563,0.44079730145132456,0.695327690832797,0.9316553032630145,0.6269289137627295,0.20739739330331985,0.45614366332539236,0.1303932080685891,0.5074111040804716,0.8592766493316321,0.17719073827158469,0.6391691049447948,0.4154968932091528,0.40404378270833263,0.13949203327686746,0.32235145669154186,0.45690886659548535,0.6978692589317738,0.09279804116583651,0.9341160407480854,0.46519379529438404,0.44378482676022263,0.5335628888139484,0.6820427428253126,0.8388481543497923,0.12466883507407217,0.7353487308619203,0.4095521550828991,0.4584998944885293,0.875704048637892,0.7785995648084617,0.3673835886571014,0.3404926761557726,0.21521252138299193,0.1893411998225164,0.29044518488402843
