,Spectral#Flatness#C3#delta,Spectral#PeakFrequency#C3#delta,Spectral#Entropy#C3#theta,Spectral#PeakFrequency#C3#theta,Spectral#RelativePower#C3#alpha,Spectral#Entropy#C3#alpha,Spectral#RelativePower#C3#beta,Spectral#Diff#C3#beta,Spectral#EdgeFrequency#C3#gamma,Spectral#RelativePower#C4#delta,Spectral#Entropy#C4#delta,Spectral#EdgeFrequency#C4#delta,Spectral#RelativePower#C4#theta,Spectral#Flatness#C4#theta,Spectral#PeakFrequency#C4#theta,Spectral#Entropy#C4#alpha,Spectral#RelativePower#C4#beta,Spectral#Entropy#C4#beta,Spectral#EdgeFrequency#C4#beta,Spectral#Diff#C4#beta,Spectral#RelativePower#Cz#delta,Spectral#Entropy#Cz#delta,Spectral#Diff#Cz#delta,Spectral#EdgeFrequency#Cz#theta,Spectral#Diff#Cz#theta,Spectral#Entropy#Cz#alpha,Spectral#EdgeFrequency#Cz#beta,Spectral#Diff#Cz#beta,Spectral#Flatness#Cz#gamma,Spectral#PeakFrequency#F3#delta,Spectral#RelativePower#F3#theta,Spectral#EdgeFrequency#F3#theta,Spectral#RelativePower#F3#alpha,Spectral#Entropy#F3#alpha,Spectral#EdgeFrequency#F3#alpha,Spectral#EdgeFrequency#F3#beta,Spectral#RelativePower#F3#gamma,Spectral#PeakFrequency#F4#delta,Spectral#Diff#F4#delta,Spectral#RelativePower#F4#theta,Spectral#Entropy#F4#theta,Spectral#Flatness#F4#theta,Spectral#Diff#F4#theta,Spectral#RelativePower#F4#alpha,Spectral#Entropy#F4#alpha,Spectral#EdgeFrequency#F4#alpha,Spectral#RelativePower#F4#beta,Spectral#Entropy#F4#beta,Spectral#Diff#F4#beta,Spectral#PeakFrequency#F4#gamma,Spectral#Entropy#F7#delta,Spectral#Diff#F7#delta,Spectral#Entropy#F7#theta,Spectral#Flatness#F7#theta,Spectral#Diff#F7#theta,Spectral#EdgeFrequency#F7#alpha,Spectral#Diff#F7#alpha,Spectral#Flatness#F7#beta,Spectral#PeakFrequency#F7#beta,Spectral#Diff#F7#beta,Spectral#RelativePower#F7#gamma,Spectral#Entropy#F7#gamma,Spectral#Flatness#F7#gamma,Spectral#EdgeFrequency#F7#gamma,Spectral#Diff#F7#gamma,Spectral#EdgeFrequency#F8#delta,Spectral#PeakFrequency#F8#delta,Spectral#Diff#F8#delta,Spectral#Entropy#F8#theta,Spectral#Flatness#F8#theta,Spectral#EdgeFrequency#F8#theta,Spectral#PeakFrequency#F8#theta,Spectral#Diff#F8#theta,Spectral#RelativePower#F8#alpha,Spectral#Entropy#F8#alpha,Spectral#Flatness#F8#alpha,Spectral#EdgeFrequency#F8#alpha,Spectral#PeakFrequency#F8#alpha,Spectral#Diff#F8#alpha,Spectral#Entropy#F8#beta
PARTICIPANT01$1,0.4799588744549968,0.4666666666666666,0.9195441125581824,0.9166666666666667,0.3684072373982687,0.9835294384235873,0.8806971170256895,0.8901869127529738,0.36363636363636415,0.20339066653822113,0.978952815191593,0.33980582524271835,0.22168154850184724,0.7741138129786809,0.75,0.9593770639862773,0.5675712145142291,0.8427029915086903,0.3846153846153847,0.9122436604574928,0.29725509434414116,0.8758678410735894,0.6343733372059727,0.513888888888889,0.10274406101034998,0.9683265413994828,0.28571428571428586,0.8965369284283493,0.8089089509986612,0.55,0.20320428017527117,0.44155844155844143,0.24947393603964615,0.9520580399207217,0.4166666666666665,0.4814814814814816,0.2009647618696795,0.4333333333333334,0.6934970988436718,0.20780936167172145,0.9123906368417396,0.7847529213227149,0.16191300877697387,0.32613129508883215,0.9428613804329717,0.5,0.7404944309288424,0.8097954565117497,0.8896482533776544,0.14285714285714285,0.7712245769909865,0.7091813066523439,0.94155555707953,0.8342271549703573,0.12102291924701944,0.25,0.539423511537489,0.8396321641462372,0.03703703703703701,0.9241029823157605,0.3955599924481865,0.8300083323879529,0.8016069531172745,0.8749999999999992,0.5307647100912242,0.45833333333333326,0.41666666666666663,0.664078019167909,0.9414131533923386,0.8075893384220763,0.4722222222222223,0.5,0.12803229262801022,0.24419003400674516,0.9313501160404422,0.8564073513373163,0.375,0.2916666666666665,0.5508478038266796,0.7429355185287732
PARTICIPANT01$2,0.3455662817013648,0.21666666666666662,0.9210079636700891,0.5625,0.3576763276867042,0.977957162624435,0.9379769117494512,0.8904540288512649,0.18181818181818207,0.2052922674783106,0.8194663986374557,0.22330097087378634,0.26408285627023476,0.8060508879260627,0.6666666666666667,0.9366164085415443,0.4478775640199314,0.8626971154840648,0.3846153846153847,0.9255044737598812,0.2388983654046999,0.7804807756984414,0.5154177220597513,0.43055555555555564,0.10046190916089386,0.9423128189166265,0.35714285714285704,0.8942838904438246,0.8131814151673766,0.3833333333333334,0.2674421623336733,0.49350649350649345,0.2623972511731063,0.893106473308568,0.2916666666666665,0.4444444444444443,0.1445230816353758,0.33333333333333337,0.6486802791789666,0.21875145242225585,0.9460634132676436,0.8138166261171935,0.1466683650316726,0.3683144461405175,0.9436384716058485,0.3333333333333335,0.6307531733366791,0.8113618012946556,0.9057739840845659,0.0,0.7341052373034789,0.5740436489416944,0.9353913110950691,0.794768297226076,0.1378353816206709,0.3333333333333335,0.5426731576176778,0.8529161614910225,0.0,0.9055094123819704,0.26588464542342927,0.8602146078887764,0.8431764020710769,0.6250000000000001,0.4728979261442634,0.375,0.2833333333333334,0.6844802203425494,0.9542318434023029,0.819695633692537,0.3333333333333333,0.45833333333333326,0.10010613269983384,0.26037441986250603,0.9721469820761975,0.9345460913389945,0.4583333333333335,0.4583333333333335,0.5430495335175557,0.7972700805935709
PARTICIPANT01$3,0.3134968687383058,0.6,0.9732303770275055,0.5833333333333333,0.32241886182936946,0.9421663635926679,0.9543044965840689,0.9129268625611763,0.36363636363636415,0.1646658653232095,0.7633308341369806,0.22330097087378634,0.26965020277203483,0.8416372736791704,0.47916666666666674,0.9185646290152194,0.5942510241356325,0.8015201985403441,0.30769230769230765,0.9182038347943463,0.2023249104201014,0.8067114975117112,0.5104097977294124,0.4583333333333333,0.08959197500471223,0.9360894368362678,0.32142857142857145,0.8958763402845952,0.8343507149859509,0.35,0.23387056906052772,0.3636363636363635,0.22667727732878815,0.9418232105531067,0.4166666666666665,0.5555555555555555,0.1853690358877247,0.35,0.6510664584759193,0.25208305309197815,0.9511287037427019,0.8437364771714229,0.15664259888423068,0.2858372764301474,0.923950195370113,0.4166666666666665,0.7409327513769741,0.7721974631154489,0.8898699344364116,0.14285714285714285,0.794009740844702,0.6547409041040337,0.962027765115133,0.8689838080899492,0.09619499890812983,0.375,0.5719874033389009,0.7608783356791975,0.018518518518518552,0.9066249652475489,0.22999927951085503,0.8312883123589264,0.8108154746414091,0.8749999999999992,0.46232539262935557,0.3125,0.3833333333333334,0.6323507425950474,0.9587300251595032,0.8581278227881804,0.30555555555555564,0.39583333333333326,0.1225501454855475,0.24090920074830782,0.9362294742545637,0.8456678107955071,0.4166666666666665,0.4583333333333335,0.5359457616061729,0.7289534930967718
PARTICIPANT01$4,0.43822508430673773,0.33333333333333337,0.9341009467192867,0.5,0.31001765184355673,0.9646115915335468,0.8613608536132525,0.9131334904658261,0.27272727272727265,0.17983774890712953,0.8278244266338859,0.28155339805825236,0.31605947486790875,0.7862375831052206,0.39583333333333326,0.9448336374799845,0.4866758742346637,0.8653018055069484,0.3846153846153847,0.9288102150710247,0.2906746819959861,0.8377722717624313,0.5780915256402489,0.375,0.10673003663660392,0.9103011727384908,0.4642857142857142,0.9265838868714549,0.7993323908722602,0.6333333333333334,0.2654021192911838,0.31168831168831174,0.20266652480000286,0.9407948674904963,0.375,0.5185185185185186,0.1553456858008863,0.4666666666666666,0.6769274339160616,0.25220994740858266,0.9541582241599064,0.8650704324953238,0.15932777376595228,0.30589716009080936,0.9301911129842897,0.375,0.6791107543835152,0.8268666039095715,0.9031148106909589,0.0,0.8012864739333495,0.6015427704451877,0.9335936827757508,0.8274865582810856,0.16445915319909332,0.20833333333333348,0.5033520160118006,0.7747651057084042,0.05555555555555555,0.9294937288691665,0.17226099190956354,0.8290201815912905,0.8230037675044403,0.8749999999999992,0.39358666358421807,0.41666666666666674,0.4833333333333334,0.7181285950585361,0.9729756541563106,0.8646358356436156,0.27777777777777796,0.27083333333333326,0.12344564647980924,0.2550254623329556,0.9569147926710391,0.9086701985343862,0.4166666666666665,0.4166666666666665,0.5518988248433627,0.7464166618632432
PARTICIPANT01$5,0.5873093974359089,0.2333333333333334,0.8590592414644244,0.875,0.380634774327844,0.9272893924366645,0.9047244509238852,0.9005050984458421,0.36363636363636415,0.23610623902067515,0.8511332483662756,0.33980582524271835,0.20343512714328957,0.8975704065332063,0.22916666666666674,0.966271164695721,0.5508676995903017,0.8232377770194963,0.3846153846153847,0.9066245485596535,0.21792016103663,0.8367610233424224,0.49697303750237815,0.4583333333333333,0.10021712502770765,0.9198070618993911,0.4285714285714286,0.9061432415617583,0.7254072122868189,0.4,0.22287120389855902,0.5714285714285714,0.278765903626713,0.8538488406095329,0.2916666666666665,0.4444444444444443,0.1456256842020395,0.5,0.6348958314719871,0.16748862049985364,0.9763584465747691,0.918695877763416,0.14809131282074897,0.3434373252544566,0.9676539634009644,0.4166666666666665,0.6937996540130277,0.7916523470913787,0.861524884738704,0.04761904761904771,0.8130685866950624,0.5787167924561766,0.9681769151278158,0.9082958170780036,0.14315821233031603,0.2916666666666665,0.5103883707921046,0.800218149634706,0.12962962962962965,0.9258282732874121,0.1976949133610233,0.8939330044713236,0.8751353391020122,0.7499999999999997,0.40776816988834147,0.39583333333333326,0.4333333333333334,0.6905199506930545,0.958568760038057,0.8580527316880808,0.3333333333333333,0.45833333333333326,0.13703431545031486,0.29455130987450734,0.9634307756060003,0.9166151841681047,0.4166666666666665,0.4166666666666665,0.5371046668715426,0.8048310785591242
PARTICIPANT01$6,0.44279307216430164,0.35,0.9653210471186036,0.875,0.34686563688232996,0.9599787594481549,0.9443989007207341,0.8680247807425454,0.27272727272727265,0.16604754467523938,0.8230465044352077,0.41747572815533984,0.20521954464286532,0.8280287774683904,0.75,0.9556810921552231,0.6200877170295888,0.7941664226731808,0.30769230769230765,0.9206933795849676,0.1808873960579541,0.7968121276480737,0.5829895357431801,0.7083333333333334,0.1114612367938968,0.8675023866231365,0.35714285714285704,0.8922959407489364,0.7909561216828899,0.6666666666666666,0.2116503988081436,0.7792207792207793,0.3116754827066324,0.9257753186834612,0.3333333333333335,0.4814814814814816,0.13916242342596805,0.4833333333333334,0.6432455191312977,0.17727797933026634,0.9653651686569154,0.8984323374079837,0.13970456457251304,0.3677215367256446,0.9369599239946781,0.375,0.7280390701647163,0.7925896451530839,0.8953627330874733,0.04761904761904771,0.7604224317401814,0.6445887553560898,0.8114363890470012,0.6013493829982642,0.1770871270438799,0.3333333333333335,0.5268804758707505,0.7209677601691962,0.018518518518518552,0.8893739610322894,0.15371646917457463,0.9114427549299962,0.9034357433054592,0.7499999999999997,0.38917894818338505,0.29166666666666674,0.1333333333333333,0.617223077578304,0.9580469644349933,0.8400779905610782,0.3611111111111113,0.41666666666666674,0.13383470255949162,0.34084265501687616,0.9294714927520779,0.8600943851212542,0.5,0.4583333333333335,0.5437561979729126,0.7458156827208102
PARTICIPANT01$7,0.5995192335859392,0.1833333333333333,0.9235406161176309,0.7291666666666667,0.40251176623752566,0.9019950875608758,0.8290066923455212,0.9136847305653117,0.36363636363636415,0.18709662832245177,0.7652997588916937,0.28155339805825236,0.2581012840972118,0.8312003056172983,0.6875,0.9614105906563754,0.535462795832149,0.838741972390084,0.3846153846153847,0.9223272729411027,0.23565035698211395,0.8979880577789229,0.5689680037529269,0.486111111111111,0.10857482888544367,0.9751711865853931,0.35714285714285704,0.8988914678359867,0.7181682211027727,0.5666666666666667,0.28849330590825367,0.5454545454545455,0.2772437997589799,0.8801601269318662,0.2916666666666665,0.5555555555555555,0.17665763985172772,0.1,0.5991933594121229,0.17635580422636912,0.9367681908984871,0.8198489402701741,0.12464953657260269,0.3855509798612797,0.9087035863241393,0.3333333333333335,0.7134054427871331,0.8290837630128276,0.8909201559156369,0.0,0.8624436239236793,0.6470090906402468,0.9317202295467591,0.8316620773056976,0.1298451711206283,0.2916666666666665,0.5384381364210442,0.8638325006748948,0.03703703703703701,0.9184134749823332,0.17758520585879078,0.9221488954696063,0.9126711575670695,0.6250000000000001,0.3778368009234935,0.29166666666666674,0.033333333333333305,0.6612722166405823,0.9664206558661066,0.8828841481024371,0.44444444444444464,0.6666666666666667,0.13337160812969984,0.24234926348096344,0.9694303529955987,0.9301352325820639,0.375,0.3333333333333335,0.5379978177173268,0.8049575109636171
PARTICIPANT01$8,0.4600731027189115,0.4333333333333334,0.8965052096564167,0.8541666666666667,0.3578377849474949,0.9596018240041894,0.8417149947045207,0.9125727159793261,0.36363636363636415,0.17757108961673285,0.8841059258483107,0.3203883495145631,0.23584715823037888,0.8182712736942067,0.625,0.9494617660620034,0.5566829445859679,0.7986738414485763,0.346153846153846,0.9078853601578685,0.317784130822069,0.8013736641094295,0.3660340937675928,0.6527777777777777,0.09735226819483347,0.9437443752829973,0.392857142857143,0.9074958482115021,0.7480379904731002,0.6166666666666666,0.24976384341344635,0.49350649350649345,0.19815504799842526,0.8989571713255282,0.3333333333333335,0.4814814814814816,0.17369784333290036,0.3166666666666666,0.6865823160505743,0.17977458044463007,0.9608609985704585,0.8700121932069419,0.13300964402456378,0.3692956013380135,0.9571909605394376,0.4583333333333335,0.7090121317655594,0.8077310395449026,0.8638405389522344,0.04761904761904771,0.8359589099019665,0.5137097105580257,0.8463422438816351,0.6466963983103056,0.13058280147395943,0.25,0.5211626774549644,0.8489397109604752,0.05555555555555555,0.9214216739396015,0.16466891821787402,0.8574786115816281,0.84241051931837,0.7499999999999997,0.4501170428581034,0.16666666666666674,0.1166666666666667,0.5516105382614683,0.941746749167501,0.8297175927463011,0.388888888888889,0.41666666666666674,0.11663710685127159,0.27540515948812605,0.9204929437487577,0.8278823843917479,0.4166666666666665,0.25,0.5492730974422086,0.7507595866095044
PARTICIPANT02$1,0.3865944551884517,0.16666666666666669,0.9499594448900561,0.33333333333333326,0.16837939948334205,0.9686219211219659,0.2745140142148102,0.9636759745024076,0.36363636363636415,0.2973496850572095,0.7545719421620979,0.20388349514563106,0.41517793606949055,0.8836474447180922,0.4375,0.9449632686205114,0.2574914707293489,0.9474151293675604,0.6538461538461539,0.9558725741664152,0.3818113060184323,0.8339022448178236,0.5549021189675075,0.2916666666666667,0.07472812821835381,0.9653211602506012,0.6785714285714285,0.9515024996243567,0.750084388136234,0.15,0.3225934092805409,0.28571428571428553,0.1233605448514502,0.883012709432164,0.2916666666666665,0.7037037037037039,0.3814301517753044,0.3166666666666666,0.5936897267903134,0.38856647570618624,0.9591440624483935,0.8670998914539211,0.12730667073736038,0.15574779562956087,0.9527567268060821,0.4166666666666665,0.31208155520812436,0.9529417711188601,0.9712660732864015,0.6190476190476188,0.6414144006541941,0.5225963485439005,0.9378448809538137,0.8121031362578598,0.08540108835349235,0.4583333333333335,0.5940512846226168,0.9110723817877341,0.5925925925925927,0.9640692604440052,0.30118407981327605,0.8587679801587471,0.8419001175716861,0.49999999999999933,0.3401952153301318,0.375,0.4,0.6846957628301705,0.9528109089678548,0.8172235030621798,0.3333333333333333,0.375,0.1255972703364622,0.12452049229457474,0.9575785736881203,0.9118518969107269,0.4166666666666665,0.4583333333333335,0.5506583823993054,0.9605145364192416
PARTICIPANT02$2,0.41130667781217883,0.1833333333333333,0.9362119627073011,0.375,0.22017980573675713,0.9564461875490416,0.25464253662673875,0.9509168699719516,0.6363636363636368,0.18066856847915588,0.9061566751717999,0.41747572815533984,0.4050313866908831,0.7903956611758588,0.41666666666666674,0.9713931780276405,0.3212426738648433,0.8889024362966783,0.423076923076923,0.9512264155576595,0.23325561339546816,0.8934013142455136,0.5966739907714712,0.2916666666666667,0.07810359998420759,0.9788441750634258,0.5714285714285714,0.9370248338459277,0.7183153293596921,0.35,0.37237639585020366,0.3636363636363635,0.13596059389755885,0.9186018270824082,0.375,0.6296296296296297,0.2605977749738987,0.41666666666666663,0.5715516059979476,0.4601505817018179,0.8942096698778733,0.6899294417843103,0.12203163626672006,0.1155683721827656,0.9309420100726876,0.4166666666666665,0.1829988882764854,0.9056994400008412,0.9659111024128301,0.5714285714285714,0.6881789856314083,0.5046061355688826,0.9212290467372581,0.779497220470825,0.08493390331657427,0.5,0.5917027256722156,0.9254440582778163,0.20370370370370366,0.9602404879551306,0.21489047377026055,0.8161468378000931,0.7930407758330651,0.6250000000000001,0.4161915768451689,0.22916666666666674,0.41666666666666663,0.5367466096123708,0.9180906140997269,0.7630190688389378,0.30555555555555564,0.45833333333333326,0.12681204345343564,0.0777759111604614,0.9599556241336442,0.8972859258843714,0.4166666666666665,0.25,0.548610403436976,0.9231306099654815
