,r,p
Delta_Frontal,0.17471564819842872,0.008481772264771701
Delta_Central,0.020545183928564876,0.758705151538104
Delta_Parietal,0.05968733851141244,0.3717937635936391
Delta_Occipital,0.04575119597479934,0.49376310086275094
Delta_Temporal,0.1907026653565448,0.00400907577206601
Delta_Limbic,0.13919513899519934,0.036514701836416405
Alpha1_Frontal,0.15796732573827116,0.01747576863532409
Alpha1_Central,0.03329339114356016,0.6185741938044182
Alpha1_Parietal,0.07269021784540311,0.27652703424513564
Alpha1_Occipital,0.04217461369108332,0.5281788347523059
Alpha1_Temporal,0.15472372395073175,0.019957763216804616
Alpha1_Limbic,0.15072276382603927,0.02343561952071659
Theta_Frontal,0.21534411268802695,0.0011232465799475184
Theta_Central,0.10835126662099562,0.10424122732710148
Theta_Parietal,0.14649709691046742,0.027664183829970514
Theta_Occipital,0.1000333795648746,0.13380734096689115
Theta_Temporal,0.24638885465703125,0.00018304157174833222
Theta_Limbic,0.19525754277772708,0.0032034340473149642
Alpha2_Frontal,-0.04371299219908241,0.5132284108519966
Alpha2_Central,-0.11945051308459975,0.07310100090180606
Alpha2_Parietal,-0.13977683630897733,0.035731072027888666
Alpha2_Occipital,-0.19428707394000977,0.0033616384264341563
Alpha2_Temporal,-0.0750935951338285,0.26091441392463816
Alpha2_Limbic,-0.11643706950623246,0.08069414650863868
Alpha3_Frontal,-0.13519650065033903,0.04230464384788674
Alpha3_Central,-0.16243745065296364,0.014497764973734195
Alpha3_Parietal,-0.2131581033414589,0.0012648807089222947
Alpha3_Occipital,-0.22800943561200915,0.0005516415373623653
Alpha3_Temporal,-0.21088475162726572,0.0014293904708055853
Alpha3_Limbic,-0.2201167370984512,0.0008632098114492719
Beta1_Frontal,0.036826636882995194,0.5818100660221651
Beta1_Central,-0.04226421719273303,0.5273020353444118
Beta1_Parietal,-0.18418747921199544,0.005479689346646961
Beta1_Occipital,-0.2797533861019291,1.9739337297971426e-05
Beta1_Temporal,-0.03158198353240533,0.6367366184794919
Beta1_Limbic,-0.12986576331449692,0.05120600657830773
Beta2_Frontal,0.11774958612284052,0.07731216589929046
Beta2_Central,-0.028900011892535236,0.6656370548751817
Beta2_Parietal,-0.12928686181719623,0.05226021056821457
Beta2_Occipital,-0.16455216569002581,0.013250963441353562
Beta2_Temporal,0.11723895072136134,0.0786140359212386
Beta2_Limbic,-0.02803679225290154,0.6750475673302129
Gamma_Frontal,0.127671638461398,0.05529728896019562
Gamma_Central,0.05421886007369062,0.41727074081362603
Gamma_Parietal,0.012950879170685633,0.8464711461039001
Gamma_Occipital,-0.031527624321018057,0.6373171541679156
Gamma_Temporal,0.13571729225799692,0.04150938692741853
Gamma_Limbic,0.0868236416903075,0.19344165409432987
