,r,p
Delta_Frontal,0.17359203972832385,0.008920814640005222
Delta_Central,0.020641491297469304,0.7576092014975849
Delta_Parietal,0.059685311259247566,0.37181003579258565
Delta_Occipital,0.04535377885330879,0.4975274629483121
Delta_Temporal,0.18663803659628314,0.004877664771285516
Delta_Limbic,0.1399373429251766,0.03551737142000489
Alpha1_Frontal,0.1551574669358732,0.01960908918175679
Alpha1_Central,0.03346200710647411,0.6167969689906425
Alpha1_Parietal,0.07240902167290016,0.27839421067755876
Alpha1_Occipital,0.041686809187477546,0.5329650666621671
Alpha1_Temporal,0.15382721768210386,0.020695512549227392
Alpha1_Limbic,0.14974648054911796,0.02435959019136221
Theta_Frontal,0.2120520446562564,0.0013426193996387442
Theta_Central,0.1091617236838309,0.10166058791665122
Theta_Parietal,0.14726620141668337,0.026849161310788152
Theta_Occipital,0.09965524163614792,0.13529071928596192
Theta_Temporal,0.24258089745107225,0.00023167274225796675
Theta_Limbic,0.19489439939414088,0.003261826522027988
Alpha2_Frontal,-0.04381551820482159,0.5122398711959048
Alpha2_Central,-0.1195121855169802,0.07295188556292023
Alpha2_Parietal,-0.13941181486648416,0.03622112493499551
Alpha2_Occipital,-0.1927274079167637,0.003630743334011897
Alpha2_Temporal,-0.07393022156260369,0.26839454751656894
Alpha2_Limbic,-0.11406193433091755,0.08711687424121708
Alpha3_Frontal,-0.1337251526898426,0.04462088399106329
Alpha3_Central,-0.1612716337629964,0.015228122646734609
Alpha3_Parietal,-0.21241412267909476,0.0013167017087609486
Alpha3_Occipital,-0.22855379786954624,0.0005345616162876431
Alpha3_Temporal,-0.21052284745015887,0.0014573176382506883
Alpha3_Limbic,-0.21946145886713703,0.0008952846231215107
Beta1_Frontal,0.03698693479520749,0.5801664530892927
Beta1_Central,-0.04222126954989075,0.5277221999463777
Beta1_Parietal,-0.18262264803226427,0.005898161315720091
Beta1_Occipital,-0.27659795742185606,2.4680656308661844e-05
Beta1_Temporal,-0.030860272761587548,0.6444621451962517
Beta1_Limbic,-0.12724913728497594,0.05611538555333148
Beta2_Frontal,0.11674276617347559,0.07989598130423252
Beta2_Central,-0.029319497928298376,0.6610826702378728
Beta2_Parietal,-0.1290324692241877,0.05272913904096789
Beta2_Occipital,-0.16426477736126663,0.013414675980558646
Beta2_Temporal,0.11529082704918947,0.08374439318376294
Beta2_Limbic,-0.02743519108123924,0.6816360873341851
Gamma_Frontal,0.12606597601926703,0.05845977458109364
Gamma_Central,0.05408245351472206,0.4184452347471759
Gamma_Parietal,0.01291581411906614,0.8468817183316535
Gamma_Occipital,-0.03217893997086759,0.6303759838792853
Gamma_Temporal,0.13308372182589545,0.04566340847990804
Gamma_Limbic,0.08653239003184335,0.1949458346870213
