,r,p
Delta_Frontal,-0.0148363940626343,0.8244576373196205
Delta_Central,-0.010226950604321652,0.8784800953998552
Delta_Parietal,-0.0362824472532745,0.5874059702470216
Delta_Occipital,-0.024734276067459045,0.7115073595075395
Delta_Temporal,-0.025603978495991133,0.7018379590652278
Delta_Limbic,0.021358889606958253,0.7494607773725287
Alpha1_Frontal,-0.005555414320036225,0.9338088211139766
Alpha1_Central,0.006481274689155908,0.9228092602649381
Alpha1_Parietal,-0.041119645263201325,0.5385572195360602
Alpha1_Occipital,-0.034734141834913884,0.6034609520407817
Alpha1_Temporal,-0.06564295908805025,0.32589395470025306
Alpha1_Limbic,-0.027091664244989825,0.6854091546454565
Theta_Frontal,0.04684446346562927,0.4834862073516765
Theta_Central,0.019025238274618248,0.7760641442606208
Theta_Parietal,-0.00847964823507799,0.8991204852674244
Theta_Occipital,0.014397900759322116,0.8295655164053656
Theta_Temporal,-0.00572737748621741,0.9317648231241289
Theta_Limbic,0.05529616681446195,0.4080628998287326
Alpha2_Frontal,-0.019498719573707298,0.7706442324133664
Alpha2_Central,-0.005814398013609771,0.9307306444250573
Alpha2_Parietal,-0.050208695580268574,0.4525981182208013
Alpha2_Occipital,-0.007903413684008253,0.9059429691008347
Alpha2_Temporal,-0.07589488347380455,0.2558464362245926
Alpha2_Limbic,-0.03808903184019199,0.5689250665653816
Alpha3_Frontal,0.023639331932309757,0.7237466965926073
Alpha3_Central,-0.0034215225602271322,0.9592046472423854
Alpha3_Parietal,-0.003083887062029863,0.9632273410691664
Alpha3_Occipital,0.025056138362160616,0.7079234030348349
Alpha3_Temporal,-0.013173567888657188,0.843864682986124
Alpha3_Limbic,0.01439162122332508,0.8296387174066138
Beta1_Frontal,-0.029235636823317562,0.6619921658180422
Beta1_Central,-0.03295672010683038,0.6221293609092883
Beta1_Parietal,0.014446967994496168,0.828993586779234
Beta1_Occipital,0.10234095409738017,0.12502444463382267
Beta1_Temporal,-0.03732240335367324,0.5767337436717354
Beta1_Limbic,0.009873159020351276,0.8826531789468919
Beta2_Frontal,-0.046316410604439605,0.4884355407175702
Beta2_Central,0.029858481460111254,0.6552491584510427
Beta2_Parietal,0.049656730831418285,0.4575886577856604
Beta2_Occipital,0.07245741322816547,0.27807227928254846
Beta2_Temporal,-0.07238861397280748,0.27853005117188534
Beta2_Limbic,0.02972401471130371,0.6567025776483127
Gamma_Frontal,-0.06747275966367336,0.31256011354086033
Gamma_Central,-0.010098152021025169,0.8799989334503795
Gamma_Parietal,-0.034800302018750284,0.6027709180076435
Gamma_Occipital,-0.009286646351547863,0.8895783588893247
Gamma_Temporal,-0.08141121943736541,0.22279973844856912
Gamma_Limbic,-0.025635486055420178,0.7014885434704172
