,0,1
Newcastle-53,-6.9067864,-1.7483196
Newcastle-54,10.443387,1.0577326
Newcastle-55,3.9438865,5.9243045
Newcastle-56,-7.866632,2.371823
Newcastle-57,-1.4049045,4.5725183
Newcastle-58,5.110618,5.762407
Newcastle-60,9.335992,3.146601
Newcastle-61,3.0860274,7.6302476
Newcastle-62,-7.930522,4.8041453
Newcastle-65,-0.35434288,-2.097706
Newcastle-66,-9.145598,4.159074
Newcastle-67,3.5343785,8.703339
Newcastle-68,4.6672173,3.6238794
Newcastle-70,10.831961,-1.9606807
Newcastle-71,-6.067588,-0.055872396
Newcastle-72,3.488174,6.787935
Newcastle-73,-4.102587,-4.5794888
Newcastle-75,-12.367836,-9.473686
Newcastle-76,7.5256114,8.955052
Newcastle-77,5.8008823,-2.8222144
Newcastle-78,-12.637747,-10.513224
Newcastle-80,-4.71507,-0.22404774
Newcastle-81,9.052484,0.3741112
Newcastle-82,-8.51343,-6.640771
Newcastle-83,-0.8801434,4.534638
Newcastle-84,7.9505653,10.656448
Newcastle-85,3.100509,10.60185
Newcastle-96,-1.5997264,3.421664
Newcastle-97,10.754533,6.045843
Newcastle-98,-2.6211488,1.5967029
Newcastle-99,1.0724782,3.919857
Newcastle-100,-9.225262,-1.7870088
Newcastle-101,11.213559,3.0804076
Newcastle-102,3.786195,7.671052
Newcastle-103,10.855653,1.9264953
Newcastle-104,10.826915,-0.26946804
Newcastle-105,8.007002,2.9945421
Newcastle-106,9.866355,0.8376882
Newcastle-108,-12.668402,-1.2235625
Newcastle-109,-12.64482,-1.4433459
Newcastle-110,-13.72527,-7.0356317
Newcastle-111,-11.650778,-8.110425
Newcastle-112,6.738254,11.198327
Izmir-13,-3.8231523,3.0220938
Izmir-14,-10.619205,-6.5842743
Izmir-15,8.832763,-1.0950547
Izmir-16,8.29209,-5.081212
Izmir-17,8.637467,1.3370239
Izmir-18,-2.4289422,-7.7917004
Izmir-19,9.641026,5.581215
Izmir-20,11.692815,-0.5363099
Izmir-21,-8.288784,-0.16501325
Izmir-22,10.052415,2.0040188
Izmir-23,4.8557553,10.16706
Izmir-24,-7.6773033,5.752588
Izmir-25,-5.332115,-3.470987
Izmir-26,-8.976923,-8.506706
Izmir-28,-11.205189,2.3289428
Izmir-29,2.133966,8.409279
Izmir-30,1.2566786,7.37919
Izmir-31,-8.04986,4.312196
Izmir-33,4.4609623,-1.0121089
Izmir-34,7.9590178,-1.0781384
Izmir-35,-6.454094,3.7255688
Izmir-36,-9.185929,1.2310427
Izmir-37,-9.796367,-9.583944
Izmir-38,7.106319,4.9476323
Izmir-39,-11.8114805,-10.918702
Izmir-40,-5.121551,6.57451
Izmir-41,-2.1187208,2.2562904
Izmir-42,3.08684,3.5038562
Izmir-43,-11.541473,-11.66174
Izmir-44,-11.101336,-0.71486914
Izmir-45,8.948458,2.4718277
Izmir-46,-5.6877284,-1.6935203
Izmir-47,4.1377397,9.18669
Izmir-48,1.4578798,-0.16655807
Izmir-50,-12.275508,0.22660144
Izmir-52,4.8589473,1.7899518
Izmir-87,4.385955,5.9873705
Izmir-88,11.0190735,-1.3058505
Izmir-89,2.9406562,-0.17514586
Izmir-90,11.958745,2.011932
Izmir-91,2.6279943,1.9444972
Izmir-92,0.7668715,-1.6106707
Izmir-93,-0.22198933,0.2895186
Izmir-94,9.240626,1.7000252
Izmir-95,6.9099236,2.375452
Izmir-113,-4.2088556,-2.1289196
Izmir-114,-13.722317,-10.358675
Izmir-115,-7.0505986,1.3145335
Izmir-116,2.584678,-1.5989647
Izmir-117,-11.938133,-6.783822
Izmir-118,4.64687,-2.0014064
Izmir-119,-11.954771,-8.068868
Izmir-120,4.8727493,-3.5445793
Izmir-121,-9.448997,3.2196438
Izmir-122,-12.468829,-11.361861
Izmir-123,-6.5694017,3.6827838
Izmir-124,4.743558,0.26149797
Izmir-125,6.9114614,12.718245
Izmir-126,-11.277591,-9.412179
Izmir-127,7.1061897,4.947648
Izmir-128,1.3457208,2.8202362
Izmir-129,7.3779917,0.0036176255
Izmir-130,7.461226,0.90905994
Izmir-131,-14.278406,-8.476251
Izmir-132,1.1136752,4.426512
Izmir-133,1.2457404,-3.0706313
Izmir-134,9.065918,7.7392654
Izmir-135,-6.9973035,2.5354543
Izmir-136,0.915955,5.6628
Izmir-137,11.400898,2.3351338
Izmir-138,-9.954325,-5.2547
Izmir-139,6.9935894,4.96871
Izmir-140,5.74169,1.8207257
Izmir-141,6.3121376,0.17293993
Izmir-142,1.5124582,4.7926984
Izmir-143,7.204098,-0.71226186
Izmir-144,-1.2259203,1.0161062
Izmir-145,-0.8104704,0.924244
Izmir-146,-0.1548151,-3.7001526
Izmir-147,-8.850134,-5.8048797
Izmir-148,-11.948222,-9.500282
Izmir-149,9.298962,-0.60787666
Izmir-150,-7.4113865,-7.951746
Izmir-151,1.4578649,-0.16655669
Izmir-152,0.35277605,-1.7580091
Izmir-153,8.672668,2.9563794
Izmir-154,-4.227518,4.6077485
Izmir-155,4.4114723,0.7936322
Izmir-156,-10.260817,-3.800726
Izmir-157,6.989648,8.088179
Izmir-158,-10.971549,2.0353014
Istambul-d1kyil1,6.2014127,6.6998916
Istambul-eoabob1,-11.750134,-5.530833
Istambul-eocars1,12.167344,-0.2664305
Istambul-eoeakt1,3.249926,-2.8645792
Istambul-eofyil1,7.521591,1.9395456
Istambul-eohboz1,5.897969,10.030619
Istambul-eoherk1,8.251456,9.756254
Istambul-eohuzu1,0.4963704,2.7584991
Istambul-eoibal1,8.64078,5.573043
Istambul-eomrus1,2.6555636,1.0417552
Istambul-eomtyil1,-5.236532,-2.9778464
Istambul-eomyil1,5.794841,3.879904
Istambul-eosbar1,-3.9309006,-2.6618862
Istambul-eosber1,6.106635,10.285443
Istambul-eoskap1,-9.957003,-0.2757087
Istambul-faladar1,-0.7059012,2.427853
Istambul-falames1,-5.546328,-6.6133723
Istambul-falcehl1,-4.229617,5.757986
Istambul-falecir1,-7.4051113,-6.0633864
Istambul-faledev1,3.8012106,-1.6975389
Istambul-falekab1,3.919415,2.0150692
Istambul-falfsev1,12.629593,-0.7302897
Istambul-falgdon1,0.26685536,6.7312846
Istambul-falherb1,0.21534829,4.954595
Istambul-falmasi1,-3.0461693,-3.3168309
Istambul-falmcek1,1.1465926,9.816927
Istambul-falmdem1,-0.27329394,8.233543
Istambul-falmedi1,11.25342,9.5079
Istambul-falmgun1,5.870142,0.23242614
Istambul-falmozb1,-12.319266,-4.680474
Istambul-falmyil1,-9.404895,-2.662787
Istambul-falnpos1,0.60008186,8.307552
Istambul-falnsez1,6.8708205,9.41076
Istambul-falrakk1,-1.7016569,7.084729
Istambul-falscan1,-6.4156637,1.5899566
Istambul-falserg1,-4.222342,6.4231324
Istambul-falsgul1,5.750405,-1.3533621
Istambul-falskar1,-9.446731,-4.572049
Istambul-falssah1,-3.4150195,-1.226768
Istambul-faltkar1,5.143669,8.694131
Istambul-falyakd1,-9.224073,-6.3949146
Istambul-falyedi1,10.086858,3.0817668
Istambul-falymem1,-1.7525946,-1.6773686
Istambul-falzbil1,-6.197619,-6.787253
Istambul-falzsah1,-11.292822,-6.0786715
Istambul-feabek1,10.155792,4.393985
Istambul-febuyig1,-12.630087,-8.830449
Istambul-femdal1,-7.498735,-8.5370035
Istambul-fesbek1,-0.68351513,-0.741791
Istambul-feykar1,-2.3069372,-4.684699
Istambul-fhtun1,2.23111,4.656526
Istambul-fmacinata1,1.5385418,-2.0598793
Istambul-fmcimtas1,1.5852625,11.622348
Istambul-fmciskes1,-11.94957,0.98513
Istambul-fpdemryal1,6.4036646,12.181578
Istambul-frekakt1,-8.14299,-7.9212794
Istambul-ftdhaka1,12.802413,-0.5214137
Istambul-ftdnbob1,5.529234,7.5977826
Istambul-lathusev1,-4.969181,2.063389
Istambul-latnurkı1,-4.947371,1.889346
