,r,p
Delta_Frontal,-0.1373967847035078,0.03690358189070233
Delta_Central,0.15868331140184372,0.015778059821898775
Delta_Parietal,0.1420367233753375,0.030926795108451484
Delta_Occipital,-0.009717695570616493,0.8832121872504158
Delta_Temporal,-0.11334033558866403,0.08564679696567316
Delta_Limbic,0.1785386691413468,0.006513853650630047
Alpha1_Frontal,0.12133262349324991,0.06563629536643271
Alpha1_Central,0.1357245246325561,0.03928481103614083
Alpha1_Parietal,0.03953875233158635,0.5498993687766933
Alpha1_Occipital,-0.00036611096553131484,0.9955843543149673
Alpha1_Temporal,-0.017458756362211697,0.7918332593581917
Alpha1_Limbic,0.12349509365306638,0.060935880301901495
Theta_Frontal,0.07988184425537682,0.2264913898406049
Theta_Central,0.20599899143905845,0.0016452749567401953
Theta_Parietal,0.17343902427640884,0.008246759485705552
Theta_Occipital,0.09100341688262611,0.16805174543217066
Theta_Temporal,0.035142286952475385,0.5951532379345951
Theta_Limbic,0.2240733160673746,0.0006016400532002116
Alpha2_Frontal,0.22658550913855313,0.0005197512470002022
Alpha2_Central,0.17094071374807804,0.009236662919322609
Alpha2_Parietal,0.16485358702110545,0.012101984322554975
Alpha2_Occipital,0.1952743275497976,0.0028772247443394484
Alpha2_Temporal,0.1548025156990206,0.018560606865602316
Alpha2_Limbic,0.28273093107523056,1.2818598311097687e-05
Alpha3_Frontal,0.3255118760745753,4.215318321560188e-07
Alpha3_Central,0.24358864513949233,0.00018503817270467925
Alpha3_Parietal,0.19454063881945988,0.0029863315154255977
Alpha3_Occipital,0.159565929354495,0.01519865388978727
Alpha3_Temporal,0.22027338342139607,0.0007483973213030299
Alpha3_Limbic,0.2465558850429978,0.0001533356324816487
Beta1_Frontal,0.07595894740045686,0.25019523649230246
Beta1_Central,0.15293564689829386,0.020044809908472867
Beta1_Parietal,0.1927536767338736,0.003267928816771904
Beta1_Occipital,0.2176381772209716,0.00086885190801324
Beta1_Temporal,0.010295555429512084,0.8763213999212794
Beta1_Limbic,0.2924775031606281,6.1724102104330845e-06
Beta2_Frontal,-0.06108604570268046,0.35535384457401925
Beta2_Central,0.1611863374160275,0.014183230575412528
Beta2_Parietal,0.19273664454713543,0.0032707247285663275
Beta2_Occipital,0.14199027121063415,0.03098227131941899
Beta2_Temporal,-0.14186295115187697,0.031134760474715018
Beta2_Limbic,0.221709053128187,0.0006894502003816302
Gamma_Frontal,-0.14594110114031844,0.026556981634853285
Gamma_Central,0.09975452034930153,0.13061382333131447
Gamma_Parietal,0.036291303141078535,0.5831642094000781
Gamma_Occipital,-0.007282923774949761,0.9123365360612675
Gamma_Temporal,-0.19768753647226747,0.002543374279907297
Gamma_Limbic,0.09264244844621669,0.1604901660612325
