,r,p
Delta_Frontal,-0.19723946519638252,0.0009865380320687573
Delta_Central,-0.09027690441309302,0.13464265912429296
Delta_Parietal,-0.10063337779425198,0.09521696495408903
Delta_Occipital,-0.0024290395135250116,0.9679566792081165
Delta_Temporal,-0.18582553927594517,0.001933893638002852
Delta_Limbic,-0.19918902574934738,0.0008760859051008897
Alpha1_Frontal,-0.26677490415138383,7.003413406721197e-06
Alpha1_Central,-0.16450628781823023,0.006157633612024415
Alpha1_Parietal,-0.14775751909273907,0.01400663898542028
Alpha1_Occipital,-0.03710003347663787,0.5393698964180996
Alpha1_Temporal,-0.24173263411561996,4.947725815351219e-05
Alpha1_Limbic,-0.2409697498346247,5.234900455313155e-05
Theta_Frontal,-0.27913723218550235,2.4736636637303526e-06
Theta_Central,-0.19993691305026173,0.0008368291148053747
Theta_Parietal,-0.19769517485554416,0.0009596283967594513
Theta_Occipital,-0.06336083580858251,0.2942212735612891
Theta_Temporal,-0.280889035624014,2.12567228064569e-06
Theta_Limbic,-0.2875454891655175,1.1835245827669926e-06
Alpha2_Frontal,-0.06615997507975835,0.2733658652017859
Alpha2_Central,0.06345203363159474,0.2935255042681688
Alpha2_Parietal,0.17434885578712683,0.0036650054155619284
Alpha2_Occipital,0.2672550473653801,6.732353333196955e-06
Alpha2_Temporal,0.08244975092758591,0.17198034892027686
Alpha2_Limbic,0.11819225955206444,0.04981765706640807
Alpha3_Frontal,0.12861942266202908,0.03268201125764064
Alpha3_Central,0.22310877213637442,0.0001862648989761909
Alpha3_Parietal,0.3265433162662147,2.803340234618052e-08
Alpha3_Occipital,0.36457523587749807,4.222797587921346e-10
Alpha3_Temporal,0.3054610598279445,2.2681037742022318e-07
Alpha3_Limbic,0.31353199651463093,1.0383309442771483e-07
Beta1_Frontal,-0.06212235284980641,0.3037787825276882
Beta1_Central,0.05199071267014328,0.38957044616488473
Beta1_Parietal,0.2841837521513433,1.5938088564692724e-06
Beta1_Occipital,0.392153739538728,1.3990550431566066e-11
Beta1_Temporal,0.11786064137373144,0.05046703552686065
Beta1_Limbic,0.17012910879263005,0.00459318927795354
Beta2_Frontal,-0.12588470933651702,0.03660125225481934
Beta2_Central,0.004306277855037011,0.9432251280038296
Beta2_Parietal,0.15619379176883916,0.00934738085127202
Beta2_Occipital,0.2111491208344484,0.0004126556136476838
Beta2_Temporal,-0.08089224180630253,0.18025164399211938
Beta2_Limbic,-0.00018528324851277422,0.997555136762631
Gamma_Frontal,-0.21793781546618837,0.00026411366666760774
Gamma_Central,-0.1709710196558772,0.004392643312706756
Gamma_Parietal,-0.06292266786803571,0.2975794829284114
Gamma_Occipital,0.02798678608833443,0.6434131480969304
Gamma_Temporal,-0.17067317927472767,0.0044626693467866765
Gamma_Limbic,-0.19571655579134448,0.0010815872014913414
