,r,p
Delta_Frontal,0.08253431172236508,0.17153950245314567
Delta_Central,0.045133842426499836,0.4551859005084058
Delta_Parietal,0.024153260917735973,0.6895238805373765
Delta_Occipital,0.008036192071686557,0.8942697152575715
Delta_Temporal,0.05113909743145413,0.39739400980229544
Delta_Limbic,0.06887416335657376,0.2541258498655512
Alpha1_Frontal,0.04750694543032319,0.43180499627206
Alpha1_Central,0.0017769528204219162,0.9765559400027867
Alpha1_Parietal,-0.031149637495960822,0.6063622116791803
Alpha1_Occipital,-0.03968314628162918,0.51148152709821
Alpha1_Temporal,-0.003111476449186353,0.9589611638858322
Alpha1_Limbic,0.013407913370091366,0.8245100465247296
Theta_Frontal,0.08611706582579065,0.15362514698631918
Theta_Central,0.03888601487773627,0.5200071184094359
Theta_Parietal,0.0122305372570082,0.8397022527204526
Theta_Occipital,-0.00029611145414487096,0.9960927376691537
Theta_Temporal,0.04494397228078815,0.4570867266557076
Theta_Limbic,0.058659427096825756,0.3315796085455313
Alpha2_Frontal,0.01076767396489084,0.8586606732238409
Alpha2_Central,-0.034570393731861396,0.5673958627616547
Alpha2_Parietal,-0.05799006816152064,0.3371362551901792
Alpha2_Occipital,-0.0529556140409162,0.3808196485012654
Alpha2_Temporal,-0.027941251892461556,0.6439533441462953
Alpha2_Limbic,-0.0274794153305805,0.6494428856521858
Alpha3_Frontal,-0.013876070177607933,0.8184869984092025
Alpha3_Central,-0.04287018210529081,0.47813412038941755
Alpha3_Parietal,-0.06639959951712232,0.2716284257519151
Alpha3_Occipital,-0.06535402854186632,0.2792648891939858
Alpha3_Temporal,-0.05041207517067832,0.4041469483261034
Alpha3_Limbic,-0.048300458183804074,0.424144128286436
Beta1_Frontal,0.016636698485800606,0.7831977279715052
Beta1_Central,-0.018763926482904626,0.7563006558698064
Beta1_Parietal,-0.06802321380541147,0.2600543568143805
Beta1_Occipital,-0.06381102883626294,0.2907973202131208
Beta1_Temporal,-0.03151792791344138,0.6021102328111992
Beta1_Limbic,-0.016262095685457938,0.7879620992561053
Beta2_Frontal,0.028427377219128882,0.6381958975129002
Beta2_Central,-0.011136284652619842,0.8538754582485348
Beta2_Parietal,-0.049440573698332754,0.41327655265600777
Beta2_Occipital,-0.04291102619915192,0.4777145606273502
Beta2_Temporal,-0.00143660737524136,0.9810453159399151
Beta2_Limbic,0.005850340662992556,0.9229226446533854
Gamma_Frontal,0.04022880405911921,0.5056876579255791
Gamma_Central,0.03576787041331647,0.5540427717089798
Gamma_Parietal,-0.011077161060294084,0.8546426312983492
Gamma_Occipital,-0.020602963616575404,0.7332805887113925
Gamma_Temporal,0.010958257634900968,0.8561859057725166
Gamma_Limbic,0.04136436732504451,0.4937411463813032
