,0,1
Izmir-13,5.0476007,-3.6150956
Izmir-16,-6.513961,-14.37868
Izmir-17,-11.161421,2.2305775
Izmir-18,8.122342,-11.607141
Izmir-21,10.140106,2.9997225
Izmir-22,-13.795033,3.442056
Izmir-23,-7.384495,-9.159112
Izmir-24,3.8764272,-11.341771
Izmir-26,13.308605,6.4158125
Izmir-28,9.088481,-9.079683
Izmir-29,-5.184444,-9.624311
Izmir-30,-4.844796,-13.294203
Izmir-31,5.854247,-9.804452
Izmir-33,-4.395117,6.5655484
Izmir-34,-9.590054,3.813191
Izmir-35,6.421156,-2.2496758
Izmir-36,7.269375,-1.1063993
Izmir-38,0.49016714,-6.9714093
Izmir-39,20.18893,8.615557
Izmir-40,3.516342,-5.1997585
Izmir-41,4.4997377,4.855721
Izmir-42,-8.793547,1.6889287
Izmir-44,15.545484,-3.9503527
Izmir-46,9.378745,1.2023016
Izmir-47,-7.5234017,-3.8743923
Izmir-48,-0.45680836,5.275263
Izmir-50,14.893278,-4.918719
Izmir-52,-5.8072357,5.140914
Izmir-87,-4.3904324,-3.445944
Izmir-88,-16.79966,4.454739
Izmir-89,-2.8291948,4.3279443
Izmir-90,-11.829468,0.36142147
Izmir-92,-0.6595986,2.9580228
Izmir-94,-13.249869,3.6530926
Izmir-95,-4.0171475,1.6578251
Izmir-113,10.304398,4.8829465
Izmir-114,21.99109,9.057735
Izmir-116,-4.7561536,8.688223
Izmir-117,19.691462,3.1832232
Izmir-118,-4.1040397,7.7505713
Izmir-119,19.129675,5.769953
Izmir-120,-4.3330417,10.700435
Izmir-121,7.6606617,-11.266212
Izmir-122,20.643742,8.974794
Izmir-123,6.5586247,-2.2474203
Izmir-124,-6.893952,4.921557
Izmir-125,-6.837602,-7.511504
Izmir-126,21.893206,7.652176
Izmir-127,0.49017355,-6.971554
Izmir-128,-1.4744403,-0.19872783
Izmir-129,-7.585112,3.4327016
Izmir-130,-6.652155,3.0767126
Izmir-131,23.131212,5.4619646
Izmir-132,-2.793537,-1.1384302
Izmir-133,-7.985281,6.12354
Izmir-134,-6.4498134,-10.7702465
Izmir-135,9.282201,-5.6554737
Izmir-136,-2.4118803,-3.1829624
Izmir-137,-12.458173,-0.011313929
Izmir-138,18.109163,1.2795064
Izmir-139,1.0034673,-7.4170923
Izmir-140,-5.8714037,6.4444265
Izmir-141,-5.3567743,2.4992604
Izmir-142,-3.036971,-1.1707655
Izmir-143,-8.534517,4.220525
Izmir-144,1.5920467,1.2618096
Izmir-145,1.0303928,1.285499
Izmir-146,0.018318422,9.635722
Izmir-147,16.3384,3.8630042
Izmir-148,22.000248,7.1392293
Izmir-149,-10.943461,3.7183518
Izmir-150,13.762297,4.673457
Izmir-151,-0.45679173,5.27528
Izmir-152,0.039635476,4.072076
Izmir-153,-12.358075,4.4622607
Izmir-154,6.743504,-5.34328
Izmir-155,-6.3382087,5.045392
Izmir-156,18.378048,0.7931019
Izmir-157,-8.763207,-4.672422
Izmir-158,9.816547,-8.679618
Newcastle-53,8.491442,-0.056018397
Newcastle-54,-13.652941,1.100439
Newcastle-56,9.74338,-4.091001
Newcastle-57,-1.3961192,-4.879456
Newcastle-58,-4.8852134,-3.8798358
Newcastle-61,-4.51621,-5.7735596
Newcastle-62,4.9369354,-9.787107
Newcastle-65,1.9173409,5.2463307
Newcastle-66,6.511582,-8.43099
Newcastle-68,-5.189171,-2.137683
Newcastle-70,-16.554832,5.8210263
Newcastle-72,-6.1084037,-4.2598643
Newcastle-73,5.0008698,2.321976
Newcastle-75,18.948107,6.2809653
Newcastle-76,-9.531494,-5.273434
Newcastle-77,-13.648201,6.3460946
Newcastle-78,19.885527,6.559739
Newcastle-80,6.404741,-4.3905587
Newcastle-81,-11.932397,2.6740413
Newcastle-82,11.137263,0.85238075
Newcastle-83,-2.0691197,-5.8558397
Newcastle-84,-9.093546,-6.1760592
Newcastle-85,-8.007122,-2.7487252
Newcastle-96,2.122381,-0.9099056
Newcastle-97,-14.9648075,-5.835712
Newcastle-98,3.1541793,0.46576566
Newcastle-100,13.008478,-0.83990455
Newcastle-101,-13.181773,-0.5370788
Newcastle-102,-6.2171593,-4.649171
Newcastle-104,-16.061628,2.7986426
Newcastle-106,-12.97652,1.7130331
Newcastle-108,12.656263,-5.0233665
Newcastle-109,12.783241,-3.4472213
Newcastle-110,20.985125,1.4582951
Newcastle-111,19.913914,4.5679517
Newcastle-112,-8.582268,-6.856305
Miltiadous-1,-8.792386,-10.648872
Miltiadous-2,11.461708,0.14166416
Miltiadous-3,23.386332,4.470769
Miltiadous-4,-15.680892,1.7156955
Miltiadous-5,-7.699105,-12.873754
Miltiadous-6,15.570298,0.61723566
Miltiadous-7,-8.482512,-11.090814
Miltiadous-8,-14.942406,-0.46910164
Miltiadous-9,-4.927095,-11.934857
Miltiadous-10,-3.1567261,2.8973992
Miltiadous-11,3.897465,-8.735047
Miltiadous-12,-10.431939,-1.7274845
Miltiadous-13,-12.770118,-7.5769367
Miltiadous-14,-16.595217,1.4002384
Miltiadous-15,14.20526,1.9108784
Miltiadous-16,-15.382131,-1.6305343
Miltiadous-17,-11.713771,-8.746776
Miltiadous-18,6.223976,-10.85414
Miltiadous-19,-16.135496,5.050666
Miltiadous-20,-15.0995865,0.8755393
Miltiadous-21,-12.554412,-4.315274
Miltiadous-22,-11.223608,-3.1535475
Miltiadous-23,-3.5809283,-4.547465
Miltiadous-24,5.123884,-12.133848
Miltiadous-25,-3.1346862,10.581027
Miltiadous-26,-16.608208,3.5480812
Miltiadous-27,-13.7706995,-7.8033485
Miltiadous-28,4.5531077,-12.620257
Miltiadous-29,-9.386445,-11.212429
Miltiadous-30,-6.929625,-13.709196
Miltiadous-31,12.139066,-0.36339083
Miltiadous-32,6.262777,-11.761711
Miltiadous-33,-3.2096028,0.6458421
Miltiadous-34,-10.999745,-9.346885
Miltiadous-35,-2.3236358,-9.669421
Miltiadous-36,10.822492,2.8810406
Miltiadous-37,11.4663105,-2.1031399
Miltiadous-38,-8.18189,4.52565
Miltiadous-39,18.997004,3.2272108
Miltiadous-40,2.6523714,7.009988
Miltiadous-41,-7.803474,-1.3129791
Miltiadous-42,14.285864,3.6853101
Miltiadous-43,-12.443518,-0.8572937
Miltiadous-44,15.634643,-3.5306215
Miltiadous-45,-1.1082217,-3.3077288
Miltiadous-46,11.203263,2.611394
Miltiadous-47,6.3498683,8.991362
Miltiadous-48,4.181294,8.471172
Miltiadous-49,21.126707,6.0780897
Miltiadous-50,-6.9541135,0.4999022
Miltiadous-51,-7.4019613,0.69688845
Miltiadous-52,9.124502,4.3951917
Miltiadous-53,15.991892,2.9860063
Miltiadous-54,19.943527,7.4163866
Miltiadous-55,1.1493717,3.586687
Miltiadous-56,18.828049,3.865243
Miltiadous-57,11.970226,4.9634895
Miltiadous-58,15.205482,4.809417
Miltiadous-59,-15.304102,3.7044377
Miltiadous-60,-13.305312,-6.1773534
Miltiadous-61,-9.222486,2.5950842
Miltiadous-62,1.0679922,9.509743
Miltiadous-63,-0.24350567,6.6455235
Miltiadous-64,20.64352,6.574244
