,r,p
Delta_Frontal,0.0825343117223646,0.17153950245314878
Delta_Central,0.04513384242649928,0.4551859005084094
Delta_Parietal,0.024153260917735238,0.6895238805373799
Delta_Occipital,0.008036192071685825,0.8942697152575828
Delta_Temporal,0.05113909743145351,0.39739400980231343
Delta_Limbic,0.06887416335657329,0.2541258498655559
Alpha1_Frontal,0.0475069454303233,0.43180499627205404
Alpha1_Central,0.0017769528204218676,0.9765559400027867
Alpha1_Parietal,-0.03114963749596083,0.6063622116791803
Alpha1_Occipital,-0.03968314628162916,0.51148152709821
Alpha1_Temporal,-0.0031114764491862457,0.9589611638858175
Alpha1_Limbic,0.013407913370091513,0.8245100465247172
Theta_Frontal,0.08611706582579057,0.15362514698631918
Theta_Central,0.03888601487773607,0.5200071184094586
Theta_Parietal,0.012230537257008,0.8397022527204515
Theta_Occipital,-0.0002961114541453168,0.9960927376691597
Theta_Temporal,0.04494397228078786,0.45708672665570227
Theta_Limbic,0.05865942709682556,0.3315796085455225
Alpha2_Frontal,0.010767673964890721,0.8586606732238279
Alpha2_Central,-0.03457039373186158,0.5673958627616544
Alpha2_Parietal,-0.05799006816152087,0.3371362551901786
Alpha2_Occipital,-0.05295561404091646,0.38081964850126404
Alpha2_Temporal,-0.027941251892461647,0.6439533441462997
Alpha2_Limbic,-0.02747941533058068,0.6494428856521753
Alpha3_Frontal,-0.013876070177607999,0.8184869984092025
Alpha3_Central,-0.042870182105290984,0.4781341203894171
Alpha3_Parietal,-0.06639959951712254,0.27162842575191354
Alpha3_Occipital,-0.06535402854186657,0.2792648891939848
Alpha3_Temporal,-0.05041207517067846,0.4041469483261073
Alpha3_Limbic,-0.04830045818380428,0.42414412828642917
Beta1_Frontal,0.016636698485800898,0.7831977279715052
Beta1_Central,-0.01876392648290439,0.756300655869833
Beta1_Parietal,-0.06802321380541156,0.26005435681438444
Beta1_Occipital,-0.06381102883626295,0.2907973202131208
Beta1_Temporal,-0.03151792791344125,0.6021102328112009
Beta1_Limbic,-0.016262095685457865,0.7879620992561053
Beta2_Frontal,0.028427377219129094,0.6381958975128798
Beta2_Central,-0.011136284652619751,0.8538754582485462
Beta2_Parietal,-0.049440573698332727,0.41327655265600777
Beta2_Occipital,-0.04291102619915185,0.4777145606273502
Beta2_Temporal,-0.0014366073752411918,0.9810453159399295
Beta2_Limbic,0.005850340662992455,0.9229226446533854
Gamma_Frontal,0.040228804059119314,0.5056876579255728
Gamma_Central,0.03576787041331658,0.5540427717089628
Gamma_Parietal,-0.011077161060293928,0.8546426312983287
Gamma_Occipital,-0.020602963616575397,0.7332805887113925
Gamma_Temporal,0.010958257634901068,0.8561859057724953
Gamma_Limbic,0.04136436732504464,0.4937411463813005
