,r,p
Delta_Frontal,-0.25018745266888226,2.6151916337776875e-05
Delta_Central,-0.13534239758836775,0.024536159018713453
Delta_Parietal,-0.13900113192530184,0.02088788837675967
Delta_Occipital,-0.07938548346255468,0.1885296252852708
Delta_Temporal,-0.2578071542005764,1.4436622661368377e-05
Delta_Limbic,-0.2674547414280701,6.622582567204624e-06
Alpha1_Frontal,-0.22688661152004608,0.0001435816538369667
Alpha1_Central,-0.07614460214038002,0.20727297473585898
Alpha1_Parietal,-0.0310992758260713,0.6069446825982663
Alpha1_Occipital,0.03478093786727175,0.5650370110447099
Alpha1_Temporal,-0.12729889026267222,0.03452747662022068
Alpha1_Limbic,-0.16511392877871367,0.005968151882825083
Theta_Frontal,-0.2919466210398598,7.969080536646044e-07
Theta_Central,-0.17429952371887728,0.0036747962067147436
Theta_Parietal,-0.1596145455174887,0.00789013816743719
Theta_Occipital,-0.06893922115174458,0.25367647724160947
Theta_Temporal,-0.2750026487422255,3.5234352779511858e-06
Theta_Limbic,-0.303050708724927,2.8512998992523105e-07
Alpha2_Frontal,-0.017520408790616643,0.7719905742340882
Alpha2_Central,0.11818880593460535,0.04982438389846992
Alpha2_Parietal,0.21364168560314306,0.0003508560979395972
Alpha2_Occipital,0.2822435440744467,1.889191038024039e-06
Alpha2_Temporal,0.1410875292287146,0.019025743297640247
Alpha2_Limbic,0.14969771384003794,0.01278426622018965
Alpha3_Frontal,0.15866832693891159,0.008271479425515092
Alpha3_Central,0.24127649005817664,5.117594775006519e-05
Alpha3_Parietal,0.3296054400470386,2.0412568950711964e-08
Alpha3_Occipital,0.3543648573742776,1.3769015896421194e-09
Alpha3_Temporal,0.3170801555484345,7.31025140448634e-08
Alpha3_Limbic,0.3071839983506585,1.923426741538746e-07
Beta1_Frontal,-0.05082247543237395,0.40032659293459427
Beta1_Central,0.11943645245608546,0.047443063556532966
Beta1_Parietal,0.3360131286246658,1.0390582860635262e-08
Beta1_Occipital,0.419976044506404,3.2134652948887366e-13
Beta1_Temporal,0.16899495125546088,0.004876380910193936
Beta1_Limbic,0.181822231425773,0.002427272044463708
Beta2_Frontal,-0.13947735071833617,0.020449482510318296
Beta2_Central,0.06916731724012791,0.2521053003283013
Beta2_Parietal,0.221637792143475,0.00020588833612141403
Beta2_Occipital,0.2539544568344357,1.9541084059259517e-05
Beta2_Temporal,-0.044203440216962556,0.4645425501697492
Beta2_Limbic,-0.002831142945615428,0.9626558049137189
Gamma_Frontal,-0.24493550472917022,3.8964170503318876e-05
Gamma_Central,-0.15257689478516923,0.011143328141955572
Gamma_Parietal,-0.0169573347386301,0.7791261329181679
Gamma_Occipital,0.0582725277127672,0.3347842121505836
Gamma_Temporal,-0.14311199763188465,0.01735858507064403
Gamma_Limbic,-0.23256880881542608,9.627442749273402e-05
