,0,1
Newcastle-53,2.9113538,0.2163661
Newcastle-54,-6.2578535,10.680383
Newcastle-56,4.5436287,1.4847981
Newcastle-57,2.2146013,5.690932
Newcastle-58,-0.77068466,9.399051
Newcastle-61,2.6968002,7.7268157
Newcastle-62,3.7262242,5.0484858
Newcastle-65,1.4690431,6.570521
Newcastle-66,5.1987734,5.346316
Newcastle-68,0.17017174,8.6082325
Newcastle-70,-10.291699,8.628815
Newcastle-72,1.6198245,7.8539395
Newcastle-73,0.9940376,1.6269853
Newcastle-75,1.7484385,-10.302578
Newcastle-76,0.76050377,9.952668
Newcastle-77,-9.089001,8.084428
Newcastle-78,4.4849057,-13.466881
Newcastle-80,3.6666312,2.6739218
Newcastle-81,-6.613818,9.588481
Newcastle-82,0.5013551,-3.1375146
Newcastle-83,2.1616638,6.225362
Newcastle-84,1.6654873,10.566768
Newcastle-85,0.9070721,9.027811
Newcastle-96,0.9679505,4.910156
Newcastle-97,-4.3940783,13.511927
Newcastle-98,1.0402185,4.4868145
Newcastle-100,2.2051127,-3.3827307
Newcastle-101,-5.125712,10.453199
Newcastle-102,2.012045,7.6016436
Newcastle-104,-8.22707,10.263261
Newcastle-106,-6.5101767,10.395601
Newcastle-108,5.1685553,-1.6855303
Newcastle-109,4.614759,-1.3887631
Newcastle-110,7.421714,-14.445515
Newcastle-111,3.2676368,-10.486076
Newcastle-112,1.7813922,10.097769
Izmir-13,6.0172143,-5.1720366
Izmir-16,-0.72121775,15.699687
Izmir-17,-7.352823,3.70112
Izmir-18,11.114328,-4.008784
Izmir-21,8.37921,-6.3239856
Izmir-22,-9.915374,4.6760106
Izmir-23,-0.83090824,6.217611
Izmir-24,9.794419,-2.2597363
Izmir-26,0.0068770787,-15.020173
Izmir-28,10.780457,-7.0558863
Izmir-29,-0.82032335,3.3629544
Izmir-30,6.084273,1.1670686
Izmir-31,9.453325,-3.480037
Izmir-33,-8.289044,0.5442417
Izmir-34,-7.35954,6.080243
Izmir-35,7.8603296,-4.7957234
Izmir-36,9.045797,-5.449685
Izmir-38,-13.03571,0.46904123
Izmir-39,2.841753,-19.318111
Izmir-40,4.4310546,-4.697644
Izmir-41,-6.9686255,-3.8336344
Izmir-42,-6.123969,5.9461246
Izmir-44,7.654776,-10.587668
Izmir-46,4.6415195,-9.234099
Izmir-47,-0.27459785,7.488253
Izmir-48,-5.172436,-2.3586686
Izmir-50,8.67653,-10.739798
Izmir-52,-7.133171,1.5421314
Izmir-87,-3.7897785,1.8267299
Izmir-88,-10.81366,9.300077
Izmir-89,-6.5060267,-0.9320188
Izmir-90,-8.164684,8.356693
Izmir-92,-5.379531,-0.6204939
Izmir-94,-9.793841,4.168028
Izmir-95,-9.511816,2.1019814
Izmir-113,2.7830257,-8.2295265
Izmir-114,4.85221,-19.869244
Izmir-116,-8.090783,-0.7865204
Izmir-117,6.2254863,-16.278559
Izmir-118,-7.0089965,0.078773156
Izmir-119,5.018999,-16.890669
Izmir-120,6.8066607,12.860828
Izmir-121,10.807175,-4.2366333
Izmir-122,3.32065,-19.577122
Izmir-123,8.003613,-4.88749
Izmir-124,-6.2141685,1.2815464
Izmir-125,3.5490139,10.004683
Izmir-126,4.320587,-18.45409
Izmir-127,-13.035678,0.46908632
Izmir-128,-2.4568148,1.4094676
Izmir-129,-6.446968,3.5678105
Izmir-130,-6.753478,2.9679942
Izmir-131,9.223521,-12.057565
Izmir-132,-2.2391803,2.7602997
Izmir-133,-4.80752,0.4002423
Izmir-134,-1.5699776,5.253342
Izmir-135,8.315403,-1.8227124
Izmir-136,-1.367104,1.9478031
Izmir-137,-7.467128,8.715582
Izmir-138,4.736108,-14.752861
Izmir-139,-13.016579,0.12842894
Izmir-140,-7.9662647,1.6908342
Izmir-141,-5.141691,2.2782423
Izmir-142,-2.2146163,2.8894966
Izmir-143,-6.7094936,5.0484514
Izmir-144,-8.664616,-2.7820325
Izmir-145,-8.651899,-2.6478615
Izmir-146,-3.837639,-0.7150678
Izmir-147,2.6860487,-13.225231
Izmir-148,4.3728237,-18.802729
Izmir-149,-8.608099,7.0644045
Izmir-150,1.401978,-15.78841
Izmir-151,-5.1724977,-2.3586733
Izmir-152,-4.8212185,-1.1767613
Izmir-153,-9.042549,3.876077
Izmir-154,6.0082746,-4.0967216
Izmir-155,-6.2369123,1.1129947
Izmir-156,6.3391685,-13.962845
Izmir-157,-1.3903861,8.500358
Izmir-158,10.623309,-7.147064
Istambul-falames1,-1.8993869,-12.33066
Istambul-falcehl1,-2.8490343,-10.761689
Istambul-falecir1,1.3024744,-14.372251
Istambul-faledev1,1.9441746,-6.2140174
Istambul-falekab1,1.0569092,-2.2556155
Istambul-falfsev1,-11.680003,7.751793
Istambul-falgdon1,4.439713,2.2935276
Istambul-falherb1,2.2913482,1.4163667
Istambul-falmasi1,-0.13789333,-10.19876
