,r,p
Delta_Frontal,-0.1972394639465471,0.0009865381068149635
Delta_Central,-0.09027690463716186,0.1346426581527483
Delta_Parietal,-0.10063337535230157,0.09521697302570087
Delta_Occipital,-0.002429040309464888,0.9679566687138543
Delta_Temporal,-0.18582553737751661,0.001933893848486669
Delta_Limbic,-0.19918902666177624,0.0008760858561883753
Alpha1_Frontal,-0.26677490284861677,7.0034141560750385e-06
Alpha1_Central,-0.1645062885716863,0.006157633373770286
Alpha1_Parietal,-0.14775751879672558,0.014006639179483159
Alpha1_Occipital,-0.037100033042887226,0.539369901163853
Alpha1_Temporal,-0.2417326345872997,4.947725642477562e-05
Alpha1_Limbic,-0.24096974806755223,5.234901138330019e-05
Theta_Frontal,-0.2791372293353378,2.4736642718276637e-06
Theta_Central,-0.1999369122419304,0.0008368291563436514
Theta_Parietal,-0.19769517572753356,0.0009596283459217351
Theta_Occipital,-0.06336083512678756,0.2942212787669652
Theta_Temporal,-0.28088903585018743,2.125672238894357e-06
Theta_Limbic,-0.28754549059129886,1.1835244323993873e-06
Alpha2_Frontal,-0.06615997587869486,0.2733658593963907
Alpha2_Central,0.06345203420919265,0.2935254998650192
Alpha2_Parietal,0.17434885567230024,0.0036650054383237135
Alpha2_Occipital,0.2672550498927637,6.732351933017207e-06
Alpha2_Temporal,0.08244975158468532,0.17198034549130303
Alpha2_Limbic,0.1181922594583151,0.04981765724899995
Alpha3_Frontal,0.1286194219017451,0.0326820122954771
Alpha3_Central,0.22310877292293724,0.00018626488896713954
Alpha3_Parietal,0.326543314036301,2.8033408786943498e-08
Alpha3_Occipital,0.3645752327511072,4.222799143324679e-10
Alpha3_Temporal,0.3054610570764612,2.2681043693393328e-07
Alpha3_Limbic,0.31353199757902767,1.0383308356814545e-07
Beta1_Frontal,-0.06212235432106831,0.30377877105331763
Beta1_Central,0.05199071257190724,0.38957044706193833
Beta1_Parietal,0.2841837530635207,1.593808728588604e-06
Beta1_Occipital,0.3921537403371639,1.3990548985900216e-11
Beta1_Temporal,0.11786064131337733,0.05046703564568527
Beta1_Limbic,0.17012910903171796,0.004593189219849972
Beta2_Frontal,-0.12588470895568535,0.03660125282718167
Beta2_Central,0.004306277463272279,0.9432251331602548
Beta2_Parietal,0.15619379455494645,0.009347379573090614
Beta2_Occipital,0.21114912003039432,0.000412655635120473
Beta2_Temporal,-0.08089224021162619,0.18025165260865167
Beta2_Limbic,-0.0001852845535824793,0.9975551195419483
Gamma_Frontal,-0.2179378116213454,0.0002641137344517868
Gamma_Central,-0.17097101991948374,0.004392643251170255
Gamma_Parietal,-0.06292266766699414,0.29757948447505284
Gamma_Occipital,0.0279867880069712,0.6434131253390861
Gamma_Temporal,-0.1706731780182263,0.004462669644315873
Gamma_Limbic,-0.19571655781693995,0.001081587069649171
