,r,p
Delta_Frontal,0.0825343192291419,0.171539463354937
Delta_Central,0.04513384260703115,0.45518589870318177
Delta_Parietal,0.02415325844557565,0.68952391066943
Delta_Occipital,0.008036188641129411,0.8942697601289509
Delta_Temporal,0.05113909011565455,0.3973940774127577
Delta_Limbic,0.06887416340910071,0.25412584950250805
Alpha1_Frontal,0.04750694704346748,0.4318049806175483
Alpha1_Central,0.0017769569061755145,0.9765558861132165
Alpha1_Parietal,-0.031149635547032234,0.6063622342151991
Alpha1_Occipital,-0.03968314860215288,0.5114815023855052
Alpha1_Temporal,-0.0031114757797635686,0.958961172707443
Alpha1_Limbic,0.01340791347855951,0.8245100451280201
Theta_Frontal,0.08611706267505768,0.1536251620930571
Theta_Central,0.03888601510342548,0.5200071159853336
Theta_Parietal,0.012230536126983885,0.8397022673311516
Theta_Occipital,-0.0002961122914090942,0.996092726621341
Theta_Temporal,0.04494397101475002,0.457086739345012
Theta_Limbic,0.05865943146395283,0.3315795724852354
Alpha2_Frontal,0.010767677576492378,0.8586606263132819
Alpha2_Central,-0.034570397723689014,0.5673958179944253
Alpha2_Parietal,-0.057990066300923286,0.3371362707180948
Alpha2_Occipital,-0.05295561457099161,0.3808196437271749
Alpha2_Temporal,-0.027941250228849697,0.6439533638860262
Alpha2_Limbic,-0.027479413999209303,0.6494429015047843
Alpha3_Frontal,-0.013876067735615658,0.8184870297990707
Alpha3_Central,-0.04287018321179081,0.4781341090204775
Alpha3_Parietal,-0.06639959869590653,0.2716284316933641
Alpha3_Occipital,-0.06535402845353414,0.2792648898452037
Alpha3_Temporal,-0.05041207700288421,0.404146931222088
Alpha3_Limbic,-0.048300458027033887,0.42414412979209576
Beta1_Frontal,0.0166367084127512,0.783197601822163
Beta1_Central,-0.018763931389582676,0.7563005941524389
Beta1_Parietal,-0.06802321689308108,0.26005433513149784
Beta1_Occipital,-0.0638110277727273,0.29079732827025
Beta1_Temporal,-0.0315179331495668,0.602110172454309
Beta1_Limbic,-0.01626209731108097,0.7879620785634069
Beta2_Frontal,0.028427379492792552,0.6381958706349873
Beta2_Central,-0.011136281866578187,0.8538754943962897
Beta2_Parietal,-0.04944057823665051,0.4132765097258193
Beta2_Occipital,-0.04291102383981675,0.47771458485718193
Beta2_Temporal,-0.0014366088326853866,0.9810452967139383
Beta2_Limbic,0.005850343212737599,0.9229226111649717
Gamma_Frontal,0.04022880244567036,0.5056876750064536
Gamma_Central,0.03576787324075144,0.5540427403616708
Gamma_Parietal,-0.011077157731181167,0.8546426744999445
Gamma_Occipital,-0.02060296266705262,0.7332806005376337
Gamma_Temporal,0.010958257754560913,0.8561859042191372
Gamma_Limbic,0.04136436762020324,0.49374114329577595
