,0,1
Izmir-13,4.7979155,1.8405577
Izmir-16,-7.872394,11.057514
Izmir-17,-10.456088,-3.148785
Izmir-18,12.636655,-5.7564983
Izmir-21,13.182706,-0.41633713
Izmir-22,-13.215527,-4.137935
Izmir-23,-9.400517,7.572825
Izmir-24,9.025876,-6.04014
Izmir-26,12.841941,7.9296565
Izmir-28,13.548861,-3.3665228
Izmir-29,-6.816967,6.560586
Izmir-30,-6.203086,10.1034975
Izmir-31,10.131571,-4.3666677
Izmir-33,-4.3528686,-7.8073945
Izmir-34,-9.412793,-5.9172025
Izmir-35,7.9622273,-0.6789256
Izmir-36,10.047792,-1.0343392
Izmir-38,-10.631787,-11.08872
Izmir-39,17.890884,11.220192
Izmir-40,2.5467465,3.687565
Izmir-41,3.442778,-6.0593076
Izmir-42,-8.582446,-6.9091434
Izmir-44,17.842527,0.059987895
Izmir-46,12.358802,1.6116854
Izmir-47,-4.4601774,4.0343127
Izmir-48,-0.6627895,-5.466201
Izmir-50,10.36837,8.109183
Izmir-52,-4.2084565,-3.5092077
Izmir-87,-1.7768896,3.1966038
Izmir-88,-15.851246,-6.0922933
Izmir-89,-3.540997,-5.523124
Izmir-90,-16.509727,-0.08478813
Izmir-92,-1.5468841,-3.8201187
Izmir-94,-12.679638,-4.146594
Izmir-95,-9.5379305,-1.6099427
Izmir-113,14.484833,2.3634403
Izmir-114,19.418283,12.377287
Izmir-116,-3.5377917,-9.207513
Izmir-117,19.87589,6.425071
Izmir-118,-3.2121863,-8.163953
Izmir-119,20.329882,8.318733
Izmir-120,-2.5584152,-11.146868
Izmir-121,12.203876,-5.5072827
Izmir-122,18.19066,11.745348
Izmir-123,8.08171,-0.6653243
Izmir-124,-4.902757,-4.014906
Izmir-125,-12.244334,9.20545
Izmir-126,19.562252,11.086795
Izmir-127,-10.631761,-11.08868
Izmir-128,-2.278392,-0.9695925
Izmir-129,-8.101624,-4.347077
Izmir-130,-8.517759,-3.179836
Izmir-131,21.478899,10.472363
Izmir-132,-5.1345544,0.79062223
Izmir-133,-7.042787,-6.264174
Izmir-134,-7.8873634,8.209359
Izmir-135,7.5801487,4.0965114
Izmir-136,-2.966482,1.5519472
Izmir-137,-15.790217,-0.04903791
Izmir-138,18.953304,3.9610095
Izmir-139,-10.107064,-11.296911
Izmir-140,-5.7763267,-7.6339664
Izmir-141,-6.5886874,-4.0234513
Izmir-142,-5.358017,0.764628
Izmir-143,-8.182623,-5.4581056
Izmir-144,2.16589,-2.9588964
Izmir-145,1.7572494,-3.2467399
Izmir-146,0.4046093,-9.551857
Izmir-147,17.291515,5.2470794
Izmir-148,19.772041,10.79378
Izmir-149,-11.359932,-5.992018
Izmir-150,14.721986,6.991126
Izmir-151,-0.66057056,-5.466159
Izmir-152,-0.8913216,-4.0978966
Izmir-153,-11.82977,-4.5174437
Izmir-154,5.489207,3.5761461
Izmir-155,-4.3314543,-4.040175
Izmir-156,19.257233,3.6324024
Izmir-157,-12.574025,4.115269
Izmir-158,14.12079,-2.5970001
Newcastle-53,6.6722317,6.120629
Newcastle-54,-12.714999,-1.9359328
Newcastle-56,8.105845,2.6698103
Newcastle-57,-3.930586,1.7332271
Newcastle-58,-0.86739206,4.2828145
Newcastle-61,-2.2631657,4.239808
Newcastle-62,9.511405,-4.395233
Newcastle-65,-0.37443247,-0.3140154
Newcastle-66,10.767942,-3.2115018
Newcastle-68,-3.7498186,-1.7705153
Newcastle-70,-15.456714,-7.2873816
Newcastle-72,-3.009263,3.937973
Newcastle-73,3.3497016,0.036290564
Newcastle-75,19.914082,8.637573
Newcastle-76,-12.877524,4.6638584
Newcastle-77,-12.960141,-7.20024
Newcastle-78,20.143267,9.53737
Newcastle-80,5.5484405,2.6688752
Newcastle-81,-11.359561,-3.5797443
Newcastle-82,12.170107,3.0572906
Newcastle-83,-4.8373294,2.2300167
Newcastle-84,-13.819483,6.2096686
Newcastle-85,-4.512614,-0.7427761
Newcastle-96,3.7531397,-4.0015497
Newcastle-97,-12.083867,1.6756294
Newcastle-98,3.7904286,-2.7350762
Newcastle-100,13.23464,3.5627432
Newcastle-101,-15.048717,0.07441867
Newcastle-102,-3.3441005,4.041922
Newcastle-104,-15.294352,-4.499759
Newcastle-106,-12.119739,-2.4503615
Newcastle-108,9.344689,6.5026455
Newcastle-109,10.569422,6.1126
Newcastle-110,21.524216,5.5468755
Newcastle-111,19.433458,7.5245714
Newcastle-112,-13.033148,6.9283357
Miltiadous-1,-8.268897,5.9144297
Miltiadous-2,11.758532,3.4694421
Miltiadous-3,22.265186,10.173046
Miltiadous-4,-14.767264,-3.3967774
Miltiadous-5,-9.198795,9.847772
Miltiadous-6,16.511791,2.4437685
Miltiadous-7,-8.308066,6.228136
Miltiadous-8,-14.241878,-1.3230498
Miltiadous-9,-6.322577,8.783947
