"Id","Creation Time","Name","Tags","Datasets","Method","Age","Gender","Education","Diagnosis","Log10","Intra-Norm","Model","F. Selection","Features","Norm","Class Weights","F1-Score","Dimensionality Red.","Features","Norm","F1-Score","Comments"
"CB-2393","2025-01-11 14:48:10","no name","[""2 datasets"",""BrainLat:CL"",""BrainLat:AR"",""mmse gap 24-26""]","['BrainLat:CL', 'BrainLat:AR']",,,,,,,,,,,,,,,,,,"[]"
"CB-2392","2025-01-11 14:47:54","no name","[""2 datasets"",""BrainLat:CL"",""BrainLat:AR"",""mmse gap 24-26""]","['BrainLat:CL', 'BrainLat:AR']",,,,,,,,,,,,,,,,,,"[]"
"CB-2391","2025-01-11 14:47:38","no name","[""2 datasets"",""BrainLat:CL"",""BrainLat:AR"",""mmse gap 24-26""]","['BrainLat:CL', 'BrainLat:AR']",,,,,,,,,,,,,,,,,,"[]"
"CB-2390","2025-01-11 14:47:16","no name","[""Istambul"",""2 datasets"",""BrainLat:AR"",""mmse gap 24-26""]","['Istambul', 'BrainLat:AR']","nestedcombat+","true","true","false","true","true","none","RandomForestClassifier(max_depth=15, n_estimators=200, random_state=0)",,"[0, 1, 2, 3]","min-max","SMOTE augmented","0.5963592874966939","PCA(n_components=4, random_state=0)","['Delta_Frontal', 'Delta_Central', 'Delta_Parietal', 'Delta_Occipital', 'Delta_Temporal', 'Delta_Limbic', 'Alpha1_Frontal', 'Alpha1_Central', 'Alpha1_Parietal', 'Alpha1_Occipital', 'Alpha1_Temporal', 'Alpha1_Limbic', 'Theta_Frontal', 'Theta_Central', 'Theta_Parietal', 'Theta_Occipital', 'Theta_Temporal', 'Theta_Limbic', 'Alpha2_Frontal', 'Alpha2_Central', 'Alpha2_Parietal', 'Alpha2_Occipital', 'Alpha2_Temporal', 'Alpha2_Limbic', 'Alpha3_Frontal', 'Alpha3_Central', 'Alpha3_Parietal', 'Alpha3_Occipital', 'Alpha3_Temporal', 'Alpha3_Limbic', 'Beta1_Frontal', 'Beta1_Central', 'Beta1_Parietal', 'Beta1_Occipital', 'Beta1_Temporal', 'Beta1_Limbic', 'Beta2_Frontal', 'Beta2_Central', 'Beta2_Parietal', 'Beta2_Occipital', 'Beta2_Temporal', 'Beta2_Limbic', 'Gamma_Frontal', 'Gamma_Central', 'Gamma_Parietal', 'Gamma_Occipital', 'Gamma_Temporal', 'Gamma_Limbic']","none",,"[]"
"CB-2389","2025-01-11 14:46:54","no name","[""Istambul"",""2 datasets"",""BrainLat:AR"",""mmse gap 24-26""]","['Istambul', 'BrainLat:AR']","nestedcombat+","true","true","false","true","true","none","RandomForestClassifier(max_depth=15, n_estimators=200, random_state=0)",,"[0, 1, 2]","min-max","SMOTE augmented","0.4949864714308451","PCA(n_components=3, random_state=0)","['Delta_Frontal', 'Delta_Central', 'Delta_Parietal', 'Delta_Occipital', 'Delta_Temporal', 'Delta_Limbic', 'Alpha1_Frontal', 'Alpha1_Central', 'Alpha1_Parietal', 'Alpha1_Occipital', 'Alpha1_Temporal', 'Alpha1_Limbic', 'Theta_Frontal', 'Theta_Central', 'Theta_Parietal', 'Theta_Occipital', 'Theta_Temporal', 'Theta_Limbic', 'Alpha2_Frontal', 'Alpha2_Central', 'Alpha2_Parietal', 'Alpha2_Occipital', 'Alpha2_Temporal', 'Alpha2_Limbic', 'Alpha3_Frontal', 'Alpha3_Central', 'Alpha3_Parietal', 'Alpha3_Occipital', 'Alpha3_Temporal', 'Alpha3_Limbic', 'Beta1_Frontal', 'Beta1_Central', 'Beta1_Parietal', 'Beta1_Occipital', 'Beta1_Temporal', 'Beta1_Limbic', 'Beta2_Frontal', 'Beta2_Central', 'Beta2_Parietal', 'Beta2_Occipital', 'Beta2_Temporal', 'Beta2_Limbic', 'Gamma_Frontal', 'Gamma_Central', 'Gamma_Parietal', 'Gamma_Occipital', 'Gamma_Temporal', 'Gamma_Limbic']","none",,"[]"
"CB-2388","2025-01-11 14:46:29","no name","[""Istambul"",""2 datasets"",""BrainLat:AR"",""mmse gap 24-26""]","['Istambul', 'BrainLat:AR']","nestedcombat+","true","true","false","true","true","none","RandomForestClassifier(max_depth=15, n_estimators=200, random_state=0)",,"[0, 1]","min-max","SMOTE augmented","0.5499725207042281","PCA(n_components=2, random_state=0)","['Delta_Frontal', 'Delta_Central', 'Delta_Parietal', 'Delta_Occipital', 'Delta_Temporal', 'Delta_Limbic', 'Alpha1_Frontal', 'Alpha1_Central', 'Alpha1_Parietal', 'Alpha1_Occipital', 'Alpha1_Temporal', 'Alpha1_Limbic', 'Theta_Frontal', 'Theta_Central', 'Theta_Parietal', 'Theta_Occipital', 'Theta_Temporal', 'Theta_Limbic', 'Alpha2_Frontal', 'Alpha2_Central', 'Alpha2_Parietal', 'Alpha2_Occipital', 'Alpha2_Temporal', 'Alpha2_Limbic', 'Alpha3_Frontal', 'Alpha3_Central', 'Alpha3_Parietal', 'Alpha3_Occipital', 'Alpha3_Temporal', 'Alpha3_Limbic', 'Beta1_Frontal', 'Beta1_Central', 'Beta1_Parietal', 'Beta1_Occipital', 'Beta1_Temporal', 'Beta1_Limbic', 'Beta2_Frontal', 'Beta2_Central', 'Beta2_Parietal', 'Beta2_Occipital', 'Beta2_Temporal', 'Beta2_Limbic', 'Gamma_Frontal', 'Gamma_Central', 'Gamma_Parietal', 'Gamma_Occipital', 'Gamma_Temporal', 'Gamma_Limbic']","none",,"[]"
"CB-2387","2025-01-11 14:46:07","no name","[""Istambul"",""2 datasets"",""BrainLat:CL"",""mmse gap 24-26""]","['Istambul', 'BrainLat:CL']","nestedcombat+","true","true","false","true","true","none","RandomForestClassifier(max_depth=15, n_estimators=200, random_state=0)",,"[0, 1, 2, 3]","min-max","SMOTE augmented","0.5784159454497773","PCA(n_components=4, random_state=0)","['Delta_Frontal', 'Delta_Central', 'Delta_Parietal', 'Delta_Occipital', 'Delta_Temporal', 'Delta_Limbic', 'Alpha1_Frontal', 'Alpha1_Central', 'Alpha1_Parietal', 'Alpha1_Occipital', 'Alpha1_Temporal', 'Alpha1_Limbic', 'Theta_Frontal', 'Theta_Central', 'Theta_Parietal', 'Theta_Occipital', 'Theta_Temporal', 'Theta_Limbic', 'Alpha2_Frontal', 'Alpha2_Central', 'Alpha2_Parietal', 'Alpha2_Occipital', 'Alpha2_Temporal', 'Alpha2_Limbic', 'Alpha3_Frontal', 'Alpha3_Central', 'Alpha3_Parietal', 'Alpha3_Occipital', 'Alpha3_Temporal', 'Alpha3_Limbic', 'Beta1_Frontal', 'Beta1_Central', 'Beta1_Parietal', 'Beta1_Occipital', 'Beta1_Temporal', 'Beta1_Limbic', 'Beta2_Frontal', 'Beta2_Central', 'Beta2_Parietal', 'Beta2_Occipital', 'Beta2_Temporal', 'Beta2_Limbic', 'Gamma_Frontal', 'Gamma_Central', 'Gamma_Parietal', 'Gamma_Occipital', 'Gamma_Temporal', 'Gamma_Limbic']","none",,"[]"
"CB-2386","2025-01-11 14:45:46","no name","[""Istambul"",""2 datasets"",""BrainLat:CL"",""mmse gap 24-26""]","['Istambul', 'BrainLat:CL']","nestedcombat+","true","true","false","true","true","none","RandomForestClassifier(max_depth=15, n_estimators=200, random_state=0)",,"[0, 1, 2]","min-max","SMOTE augmented","0.5696936566124295","PCA(n_components=3, random_state=0)","['Delta_Frontal', 'Delta_Central', 'Delta_Parietal', 'Delta_Occipital', 'Delta_Temporal', 'Delta_Limbic', 'Alpha1_Frontal', 'Alpha1_Central', 'Alpha1_Parietal', 'Alpha1_Occipital', 'Alpha1_Temporal', 'Alpha1_Limbic', 'Theta_Frontal', 'Theta_Central', 'Theta_Parietal', 'Theta_Occipital', 'Theta_Temporal', 'Theta_Limbic', 'Alpha2_Frontal', 'Alpha2_Central', 'Alpha2_Parietal', 'Alpha2_Occipital', 'Alpha2_Temporal', 'Alpha2_Limbic', 'Alpha3_Frontal', 'Alpha3_Central', 'Alpha3_Parietal', 'Alpha3_Occipital', 'Alpha3_Temporal', 'Alpha3_Limbic', 'Beta1_Frontal', 'Beta1_Central', 'Beta1_Parietal', 'Beta1_Occipital', 'Beta1_Temporal', 'Beta1_Limbic', 'Beta2_Frontal', 'Beta2_Central', 'Beta2_Parietal', 'Beta2_Occipital', 'Beta2_Temporal', 'Beta2_Limbic', 'Gamma_Frontal', 'Gamma_Central', 'Gamma_Parietal', 'Gamma_Occipital', 'Gamma_Temporal', 'Gamma_Limbic']","none",,"[]"
"CB-2385","2025-01-11 14:45:21","no name","[""Istambul"",""2 datasets"",""BrainLat:CL"",""mmse gap 24-26""]","['Istambul', 'BrainLat:CL']","nestedcombat+","true","true","false","true","true","none","RandomForestClassifier(max_depth=15, n_estimators=200, random_state=0)",,"[0, 1]","min-max","SMOTE augmented","0.638047138047138","PCA(n_components=2, random_state=0)","['Delta_Frontal', 'Delta_Central', 'Delta_Parietal', 'Delta_Occipital', 'Delta_Temporal', 'Delta_Limbic', 'Alpha1_Frontal', 'Alpha1_Central', 'Alpha1_Parietal', 'Alpha1_Occipital', 'Alpha1_Temporal', 'Alpha1_Limbic', 'Theta_Frontal', 'Theta_Central', 'Theta_Parietal', 'Theta_Occipital', 'Theta_Temporal', 'Theta_Limbic', 'Alpha2_Frontal', 'Alpha2_Central', 'Alpha2_Parietal', 'Alpha2_Occipital', 'Alpha2_Temporal', 'Alpha2_Limbic', 'Alpha3_Frontal', 'Alpha3_Central', 'Alpha3_Parietal', 'Alpha3_Occipital', 'Alpha3_Temporal', 'Alpha3_Limbic', 'Beta1_Frontal', 'Beta1_Central', 'Beta1_Parietal', 'Beta1_Occipital', 'Beta1_Temporal', 'Beta1_Limbic', 'Beta2_Frontal', 'Beta2_Central', 'Beta2_Parietal', 'Beta2_Occipital', 'Beta2_Temporal', 'Beta2_Limbic', 'Gamma_Frontal', 'Gamma_Central', 'Gamma_Parietal', 'Gamma_Occipital', 'Gamma_Temporal', 'Gamma_Limbic']","none",,"[]"
"CB-2384","2025-01-11 14:44:58","no name","[""Miltiadous"",""2 datasets"",""BrainLat:AR"",""mmse gap 24-26""]","['Miltiadous', 'BrainLat:AR']","nestedcombat+","true","true","false","true","true","none","RandomForestClassifier(max_depth=15, n_estimators=200, random_state=0)",,"[0, 1, 2, 3]","min-max","SMOTE augmented","0.6931421929484696","PCA(n_components=4, random_state=0)","['Delta_Frontal', 'Delta_Central', 'Delta_Parietal', 'Delta_Occipital', 'Delta_Temporal', 'Delta_Limbic', 'Alpha1_Frontal', 'Alpha1_Central', 'Alpha1_Parietal', 'Alpha1_Occipital', 'Alpha1_Temporal', 'Alpha1_Limbic', 'Theta_Frontal', 'Theta_Central', 'Theta_Parietal', 'Theta_Occipital', 'Theta_Temporal', 'Theta_Limbic', 'Alpha2_Frontal', 'Alpha2_Central', 'Alpha2_Parietal', 'Alpha2_Occipital', 'Alpha2_Temporal', 'Alpha2_Limbic', 'Alpha3_Frontal', 'Alpha3_Central', 'Alpha3_Parietal', 'Alpha3_Occipital', 'Alpha3_Temporal', 'Alpha3_Limbic', 'Beta1_Frontal', 'Beta1_Central', 'Beta1_Parietal', 'Beta1_Occipital', 'Beta1_Temporal', 'Beta1_Limbic', 'Beta2_Frontal', 'Beta2_Central', 'Beta2_Parietal', 'Beta2_Occipital', 'Beta2_Temporal', 'Beta2_Limbic', 'Gamma_Frontal', 'Gamma_Central', 'Gamma_Parietal', 'Gamma_Occipital', 'Gamma_Temporal', 'Gamma_Limbic']","none",,"[]"
