Method,Datasets,PCs,Avg F1,Std F1
none,2,15,0.6709697502714286,0.07668351090255221
none,2,14,0.680367376720495,0.06912322170109043
none,2,13,0.6728316126337569,0.06827280955441767
none,2,12,0.6726906089774549,0.06783141366899521
none,2,11,0.6764302464594664,0.06928465366559362
none,2,10,0.6771520234861853,0.09142045867500925
none,2,9,0.6811574437052832,0.0790684348780187
none,2,8,0.6887288046361256,0.0676343432256258
none,2,7,0.6658033119529122,0.07027650653178888
none,2,6,0.6745090983628504,0.06297948991085144
none,2,5,0.6685681725280627,0.05995909100539372
none,2,4,0.6550675536524095,0.08107177825965275
none,2,3,0.6388920862920815,0.0641725471211974
none,2,2,0.6439325160235944,0.0644066702797369
neuroharmonize,2,15,0.6675235194146885,0.08626625012892021
neuroharmonize,2,14,0.6510119061457165,0.09339037241570353
neuroharmonize,2,13,0.6562039073369752,0.08116214037616058
neuroharmonize,2,12,0.6525453342684521,0.09740805254786408
neuroharmonize,2,11,0.6537798930235589,0.09726623364276293
neuroharmonize,2,10,0.6612224635938784,0.08786938740870513
neuroharmonize,2,9,0.6636128134537861,0.09027181319493846
neuroharmonize,2,8,0.6658056471760684,0.0864949505457341
neuroharmonize,2,7,0.6684454509710266,0.08085183398833111
neuroharmonize,2,6,0.6609449352725382,0.07404132830865792
neuroharmonize,2,5,0.6635590786322004,0.08219355789975892
neuroharmonize,2,4,0.6588665921514567,0.08437201611547449
neuroharmonize,2,3,0.6568804448321295,0.07428326746947325
neuroharmonize,2,2,0.6524551494953816,0.05670542366875798
neuroharmonize2,2,15,0.6411434617680138,0.08358910280774849
neuroharmonize2,2,14,0.6372864130392328,0.1011639067999714
neuroharmonize2,2,13,0.6491277020155821,0.09119813233137279
neuroharmonize2,2,12,0.6545753575574839,0.09060690378324919
neuroharmonize2,2,11,0.6437227650918973,0.10658607253235539
neuroharmonize2,2,10,0.6357624855859474,0.09884303083019579
neuroharmonize2,2,9,0.6376105864076413,0.10508072980806961
neuroharmonize2,2,8,0.6473920144788329,0.11129235193953979
neuroharmonize2,2,7,0.6316686734404036,0.09614947751623418
neuroharmonize2,2,6,0.653045629709013,0.1014501174680096
neuroharmonize2,2,5,0.6455209612899355,0.10654682346378366
neuroharmonize2,2,4,0.6623697451833865,0.06372363219036467
neuroharmonize2,2,3,0.6657400085903079,0.07299232054538843
neuroharmonize2,2,2,0.6517207225818603,0.051922556862974784
nestedcombat+,2,15,0.6960028492307251,0.07909954233105958
nestedcombat+,2,14,0.6911894767185249,0.07623730298363808
nestedcombat+,2,13,0.6814340733878766,0.07482902959329972
nestedcombat+,2,12,0.687733697607741,0.07093971738436879
nestedcombat+,2,11,0.6836723406543113,0.08283886922297529
nestedcombat+,2,10,0.6764033541672538,0.08813624206846048
nestedcombat+,2,9,0.6677871565582075,0.09497692710708791
nestedcombat+,2,8,0.6790703013693139,0.08514345549787289
nestedcombat+,2,7,0.6637925999590558,0.08830831450159901
nestedcombat+,2,6,0.6579414829964152,0.09887057581664217
nestedcombat+,2,5,0.6520220995626956,0.09580859868662475
nestedcombat+,2,4,0.6809001735015262,0.06812583705789581
nestedcombat+,2,3,0.6504602402310676,0.09175942609728299
nestedcombat+,2,2,0.6547849903689807,0.0826373526749208
nestedcombat-,2,15,0.6474032830408936,0.10675629265218364
nestedcombat-,2,14,0.6535907046960303,0.08357682042847114
nestedcombat-,2,13,0.6548073063250981,0.07891155020160971
nestedcombat-,2,12,0.6634903062998194,0.08575129563492233
nestedcombat-,2,11,0.6662737801546535,0.0978498221297656
nestedcombat-,2,10,0.6577909349591872,0.10103769188961481
nestedcombat-,2,9,0.6667447782358383,0.11725612930776992
nestedcombat-,2,8,0.6727714176538071,0.08893310814466679
nestedcombat-,2,7,0.6491655473103827,0.10817064572887285
nestedcombat-,2,6,0.6631206766487511,0.08665399044350468
nestedcombat-,2,5,0.6546051268579888,0.09442700017290805
nestedcombat-,2,4,0.6619989003376516,0.09276977156261573
nestedcombat-,2,3,0.6653444672509453,0.08441356703601278
nestedcombat-,2,2,0.6623276035783034,0.06748515706642803
none,3,15,0.6885610020779436,0.05213670229863197
none,3,14,0.6880524789126827,0.04695158643915564
none,3,13,0.6796850459973016,0.07085959144508526
none,3,12,0.6889632971710633,0.07025230236911054
none,3,11,0.6776908944451324,0.06894669993233003
none,3,10,0.6845310895070853,0.06499558332704328
none,3,9,0.6884726413471949,0.056541347220852224
none,3,8,0.6853574878478528,0.055772775404836585
none,3,7,0.6659659980067189,0.0585676048373785
none,3,6,0.6617561595640271,0.05350208776253638
none,3,5,0.6608083347294158,0.05331832928275757
none,3,4,0.6535624322501439,0.06189664282127229
none,3,3,0.6510662737308368,0.049877629495645795
none,3,2,0.6446046146979973,0.04775763640020683
neuroharmonize,3,15,0.6803426351609462,0.057033428663582755
neuroharmonize,3,14,0.6720674773062707,0.05987712885580297
neuroharmonize,3,13,0.6788214865525066,0.061524374691186816
neuroharmonize,3,12,0.674644666520347,0.059054950246156625
neuroharmonize,3,11,0.6739612157389273,0.07114686523224831
neuroharmonize,3,10,0.6662667327397694,0.07135619414085825
neuroharmonize,3,9,0.6680325086164332,0.0661567479178095
neuroharmonize,3,8,0.668875234690556,0.06447268953059965
neuroharmonize,3,7,0.6671441720650091,0.07043924790817196
neuroharmonize,3,6,0.6560854270897247,0.06358704409859207
neuroharmonize,3,5,0.6599530079358852,0.06359505183422742
neuroharmonize,3,4,0.663790044449256,0.06204955120595535
neuroharmonize,3,3,0.6575986834557083,0.06746116716336474
neuroharmonize,3,2,0.6431946468253038,0.06525382143688498
neuroharmonize2,3,15,0.679295715404889,0.06268182658852205
neuroharmonize2,3,14,0.6696560623254021,0.06369108694026746
neuroharmonize2,3,13,0.6809259255695318,0.060327374935055
neuroharmonize2,3,12,0.6775335067157446,0.06588302266867088
neuroharmonize2,3,11,0.6766690196066372,0.07704235152227162
neuroharmonize2,3,10,0.6714664291563622,0.07378640045891405
neuroharmonize2,3,9,0.663106035082471,0.07217003887534017
neuroharmonize2,3,8,0.6668444720971282,0.06056993530168449
neuroharmonize2,3,6,0.6582311725126769,0.0646055053994142
neuroharmonize2,3,5,0.6593312981444975,0.06468714529841708
neuroharmonize2,3,2,0.6405337599658467,0.056358776284522315
neuroharmonize2,3,7,0.6622276141955374,0.0676631081912131
neuroharmonize2,3,4,0.6675866267350259,0.05220828055920668
neuroharmonize2,3,3,0.6656093063012104,0.06924389635580101
nestedcombat+,3,15,0.6809778761669186,0.05561376930307199
nestedcombat+,3,14,0.6771300190611587,0.051597679515330994
nestedcombat+,3,13,0.6779904521141211,0.06050590295392381
nestedcombat+,3,12,0.6647728527839636,0.058114313632466365
nestedcombat+,3,11,0.6747173165649945,0.06629035151367384
nestedcombat+,3,10,0.664806936848313,0.07257418132357156
nestedcombat+,3,9,0.6699502656885412,0.07601924328060525
nestedcombat+,3,8,0.6714899687432309,0.07176079307211844
nestedcombat+,3,6,0.6567908814974852,0.06000169934367118
nestedcombat+,3,5,0.6510489398986985,0.07156120830794989
nestedcombat+,3,2,0.6558794483525903,0.06000159825234133
nestedcombat+,3,7,0.6628966582338853,0.06376659853383085
